"entityID","entity","tier1and2entity","tier1and2entityID","entityIDAbove","mission","website","operational","decision","regulatory","research","level","Notes"
"n01","State Name","Arizona",1,"NA",NA,"https://az.gov/","Yes","Yes","Yes","Yes",1,NA
"n02","Department of Water Resources","Department of Water Resources",2,"n01","Ensures long-term, reliable water supplies to support the continued economic prosperity of the State.","https://new.azwater.gov/","Yes","Yes","Yes","Yes",2,NA
"n03","Active Management Areas","Department of Water Resources",2,"n02","Identify and designate qreas with heavy reliance on mined groundwater as Active Management Areas (AMAs).","https://new.azwater.gov/ama","Yes","Yes","Yes","No",3,NA
"n04","Water Management Assistance Program","Department of Water Resources",2,"n03","Provide financial and technical resources to assist water users in the development and implementation of conservation programs, facilitate augmentation and renewable water supply utilization and obtain information on hydrologic conditions and water availability in an Active Management Area (AMA).","https://new.azwater.gov/ama/wmap","No","No","Yes","No",4,NA
"n05","Stream Adjudication","Department of Water Resources",2,"n02","A judicial proceeding to determine the nature, extent and relative priority of water rights in Arizona.","https://new.azwater.gov/adjudications","No","Yes","Yes","No",3,NA
"n06","Assured and Adequate Water Supply","Department of Water Resources",2,"n02","Address the problem of limited groundwater supplies in Arizona.","https://new.azwater.gov/aaws","No","No","Yes","No",3,NA
"n07","Colorado River Management","Department of Water Resources",2,"n02","Represents the State of Arizona in policy negotiations of Colorado River operations and administration of entitlements.","https://new.azwater.gov/crm","Yes","No","No","Yes",3,NA
"n08","Community Water Systems","Department of Water Resources",2,"n02","Manages compliance of community water systems.","https://new.azwater.gov/cws","Yes","No","Yes","No",3,NA
"n09","Conservation","Department of Water Resources",2,"n02","Provides an integrated approach to water conservation in Arizona by offering conservation assistance, outreach and education as well as information on conservation resources and regulations.","https://new.azwater.gov/conservation","No","No","No","Yes",3,NA
"n10","Drought","Department of Water Resources",2,"n02","Coordinates groups advising the governor on drought conditions and impacts across the state and works with local stakeholders to mitigate drought impacts and identify response actions.","https://new.azwater.gov/drought","No","No","No","Yes",3,NA
"n11","Engineering Division","Department of Water Resources",2,"n02","Oversees floodplain management and dam safety.","https://new.azwater.gov/engineering","Yes","No","Yes","Yes",3,NA
"n12","Dam Safety","Department of Water Resources",2,"n11","Maximize protection of human life and property against dam failure.","https://new.azwater.gov/dam-safety","Yes","No","Yes","No",4,NA
"n13","Floodplain Management","Department of Water Resources",2,"n11","Reduce risk to life and property by assisting local flood control and floodplain management efforts.","https://new.azwater.gov/floodplain-management","Yes","No","No","Yes",4,NA
"n14","Hydrology Division","Department of Water Resources",2,"n02","Performs a variety of activities in support of the Office of the Director, other ADWR divisions and the public.","https://new.azwater.gov/hydrology","Yes","No","No","Yes",3,NA
"n15","Recharge Program","Department of Water Resources",2,"n02","Allow persons with surplus supplies of water to store that water underground and recover it at a later time for the storer’s use.","https://new.azwater.gov/recharge","Yes","No","No","Yes",3,NA
"n16","Rural Programs","Department of Water Resources",2,"n02","Provide support to a number of rural water groups that consist of both rural watershed partnerships and other rural entities.","https://new.azwater.gov/rural-programs","Yes","Yes","No","Yes",3,NA
"n17","Surface Water","Department of Water Resources",2,"n02","Ensure a long-term, sufficient and secure water supply for the State by promoting, allocating and comprehensively managing in an environmentally and economically sound manner the rights and interests of the State’s surface water resources for the citizens of Arizona.  ","https://new.azwater.gov/surface-water","No","No","Yes","No",3,NA
"n18","Permitting and Wells","Department of Water Resources",2,"n02","Regulates all groundwater wells in Arizona.","https://new.azwater.gov/permitting-wells","Yes","Yes","Yes","No",3,NA
"n19","Water Banking Authority","Department of Water Resources",2,"n15","Stores water in underground aquifers to earn long-term storage credits. These credits can be recovered (pumped) during a shortage to provide back-up water supplies (known as ""firming"") for Arizona water users.","https://waterbank.az.gov/","Yes","No","No","No",4,NA
"n20","Water Protection Fund","Water Protection Fund",3,"n01","Provides an annual source of funding for the development and implementation of measures that maintain, enhance and restore rivers, streams and riparian habitat, including projects that benefit fish an wildlife, that are dependent on these important resources.","https://www.azwpf.gov/","No","No","No","Yes",2,NA
"n21","Central Arizona Project","Central Arizona Project",10,"n01","Central Arizona Project (CAP) is the steward of central Arizona's Colorado River water entitlement and a collaborative leader in Arizona's water community.","https://www.cap-az.com/about-us/mission-vision","Yes","No","No","Yes",2,NA
"n23","Arizona Commerce Authority","Commerce Authority",4,"n01","The ACA uses a three-pronged approach to advance the overall economy: recruit, grow, create.","https://www.azcommerce.com/","Yes","Yes","No","Yes",2,NA
"n24","Arizona Finance Authority","Commerce Authority",4,"n23","The Arizona Finance Authority is a one-stop shop for financing, supporting expanding and relocating businesses, communities’ infrastructure needs, and first-time homebuyers.","https://www.azcommerce.com/financing/about-the-arizona-finance-authority/","No","Yes","No","No",3,NA
"n25","Water and Public Infrastructure Financing","Commerce Authority",4,"n23","The AFA’s water and public infrastructure financing authorities provide communities the opportunity to make smart investments through low-cost financing and incentives.","https://www.azwifa.gov/","Yes","No","No","No",4,NA
"n26","Arizona Power Authority","Power Authority",5,"n01","The Authority has worked effectively with both publicly-owned and privately-owned utilities in making Hoover Power Plant hydro power available to all major load centers throughout Arizona at the lowest possible cost","http://www.powerauthority.org/about-us/","Yes","Yes","No","No",2,NA
"n27","Arizona Corporation Commission","Corporation Commission",6,"n01","The Arizona Corporation Commission maintains regulatory authority over private water companies and private wastewater companies throughout Arizona","https://www.azcc.gov/","No","No","Yes","No",2,NA
"n28","Utilities Divison","Corporation Commission",6,"n27","Recommend thoroughly researched, sound regulatory policy and rate recommendations to the Commissioners, which are based on a balanced analysis of the benefits and impacts on all stakeholders and are consistent with the public interest.","https://www.azcc.gov/utilities","No","No","Yes","No",3,NA
"n29","Arizona Department of Environmental Quality","Department of Environmental Quality",7,"n01","To protect and enhance public health and the environment.","https://azdeq.gov/welcome-adeq","Yes","Yes","Yes","Yes",2,NA
"n30","Water Quality Division","Department of Environmental Quality",7,"n29","The Water Quality Division (WQD) protects and enhances public health and the environment by ensuring healthy drinking water is provided by public water systems and by controlling current and future sources of surface and ground water pollution","https://azdeq.gov/wqd","Yes","Yes","Yes","Yes",3,NA
"n31","Safe Drinking Water","Department of Environmental Quality",7,"n30","ADEQ, with the help of local counties, assesses the drinking water source and supervises regulations that govern water system design, operation and construction.","https://azdeq.gov/node/242","Yes","No","No","No",4,NA
"n32","Arizona Water Watch","Department of Environmental Quality",7,"n30","To enhance statewide surface water protection efforts, ADEQ established Arizona Water Watch (AZWW), offering Arizonan residents and visitors ages 10 through retirement the opportunity to help ADEQ monitor the health of our waters and inform measures to protect it for future generations","https://azdeq.gov/programs/azww","Yes","No","No","No",4,NA
"n33","Groundwater Protection","Department of Environmental Quality",7,"n30","The Groundwater Protection Program characterizes groundwater quality in each of Arizona’s 51 basins.","https://azdeq.gov/groundwater-protection","Yes","No","Yes","No",4,NA
"n34","Monitoring Assistance Program","Department of Environmental Quality",7,"n30","Monitoring Assistance Program (MAP) helps small drinking water systems comply with the Safe Drinking Water Act by assisting with the collection, transportation, analysis and reporting of regulated contaminants taken at the entry point to the distribution systems (EPDS)","https://azdeq.gov/map","Yes","No","No","No",4,NA
