"platformID","entityID","platform","Built","Natural","Quality","Regulatory","Evapotranspiration","ExtremeEvents","GlacialandSnow","Groundwater","Meteorology","Precipitation","Reservoir","Soil","SurfaceWater","Hydropower","Irrigation","Use","Utilities","ManagementPlans"
"p20","n72","CalEPA-Conservation: Water Conservation and Production Reports",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"p11","n19","CalEPA-Drinking Water: Drinking Water Information Clearinghouse",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"p10","n19","CalEPA-Drinking Water: Drinking Water Watch",0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"p13","n19","CalEPA-Drinking Water: Public Water System Service Area Boundary Tool",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"p07","n24","CalEPA-Env Health Hazards: CalEnviroScreen",0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,4,0
"p02","n04","CalEPA-Env Monitoring Branch: Surface Water Database (SURF)",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p03","n04","CalEPA-Env Monitoring Branch: Well Inventory Database",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p19","n21","CalEPA-GAMA: GAMA OnLine Tools",1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"p09","n14","CalEPA-Stormwater: Stormwater Multiple Application and Report Tracking System",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"p17","n08","CalEPA-SWRCB: CA Environmental Data Exchange Network",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p14","n08","CalEPA-SWRCB: Data Map Services",1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"p04","n08","CalEPA-SWRCB: Integrated Water Quality System Project",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p06","n07","CalEPA-Toxic Substances: EnvirStor",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p12","n16","CalEPA-Water Quality Assessments: Impaired Water Bodies",0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p08","n20","CalEPA-Water Rights: Electronic Water Rights Information Management System (EWRIMS)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"p15","n20","CalEPA-Water Rights: Water Transfers Program",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"p18","nMix","CalEPA,NRA: My Water Quality",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p05","n02","CalEPA: Regulated Site Portal",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p01","n73","GOA: CA Open Data Portal",1,1,3,3,2,2,0,2,2,2,0,2,0,0,4,0,4,4
"p23","nMix","Hub: Groundwater Exchange",1,0,3,0,0,0,0,2,0,0,0,0,2,0,0,4,0,4
"p32","n36","NRA-CGS: DOC Maps: California Geological Survey",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p33","n38","NRA-DOGGR: Water Use SB 1281 Data and Reports",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"p24","n26","NRA-DWR: Best Available Maps",1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"p25","n26","NRA-DWR: CA Data Exchange Center",0,0,3,0,0,0,2,0,0,2,2,0,2,0,0,0,0,0
"p26","n26","NRA-DWR: CA Irrigation Management Information System",0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0
"p22","n26","NRA-DWR: CA Water Library",0,0,3,3,0,2,2,2,2,0,0,0,0,4,4,0,4,4
"p28","n26","NRA-DWR: Groundwater Information Center Interactive Map Application",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"p16","n26","NRA-DWR: Water Data Library",0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
"p27","n26","NRA-DWR: Water Management Planning Tool",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p34","n43","NRA-Ecosystems Conservation: Biogeographic Information and Observation System",1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"p35","n43","NRA-Ecosystems Conservation: Geographic Information Systems (GIS) Services",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p36","n45","NRA-Energy Commission: Electricity Data, Facts, and Statistics",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"p29","n29","NRA-Flood Management: Flood Emergency Response Information Exchange",1,1,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0
"p30","n30","NRA-Groundwater Management: CA Statewide Groundwater Elevation Monitoring (CASGEM)",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
"p31","n30","NRA-Groundwater Management: SGMA Groundwater Management Portal",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"p37","n47","NRA-Renewable Energy: CA Renewable Energy Statistics and Data",1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"p21","n25","NRA: Natural Resources Agency Open Data",1,1,3,3,2,0,0,2,2,2,2,2,2,4,4,4,4,4
