"from","to"
"n01","n02"
"n01","n25"
"n01","n73"
"n02","n03"
"n02","n07"
"n02","n08"
"n02","n24"
"n03","n04"
"n04","n05"
"n04","n06"
"n06","n21"
"n08","n09"
"n08","n10"
"n08","n12"
"n08","n13"
"n08","n14"
"n08","n15"
"n08","n16"
"n08","n18"
"n08","n19"
"n08","n20"
"n08","n22"
"n08","n23"
"n08","n72"
"n16","n17"
"n25","n26"
"n25","n35"
"n25","n39"
"n25","n41"
"n25","n42"
"n25","n45"
"n25","n48"
"n25","n54"
"n25","n55"
"n25","n57"
"n25","n66"
"n25","n67"
"n25","n68"
"n26","n27"
"n26","n28"
"n26","n29"
"n26","n30"
"n26","n31"
"n26","n32"
"n26","n33"
"n26","n34"
"n35","n36"
"n35","n38"
"n36","n37"
"n39","n40"
"n42","n43"
"n43","n44"
"n45","n46"
"n45","n47"
"n48","n49"
"n48","n50"
"n48","n51"
"n48","n52"
"n48","n53"
"n55","n56"
"n57","n58"
"n57","n59"
"n57","n60"
"n57","n61"
"n57","n62"
"n57","n63"
"n57","n64"
"n57","n65"
"n67","n71"
"n68","n69"
"n68","n70"
