"entityID","entity","tier1and2entity","tier1and2entityID","entityIDAbove","mission","website","operational","decision","regulatory","research","level"
"n01","California","California",1,"NA","The California Dream. The idea that every person can achieve a better life, regardless of where†they start out, is central to who we are as Californians.","https://www.ca.gov/","Yes","Yes","Yes","Yes",1
"n02","Environmental Protection Agency","Environmental Protection Agency",2,"n01","Restore, protect and enhance the_environment, to ensure public health, environmental quality and economic vitality.","https://calepa.ca.gov/","No","Yes","Yes","No",2
"n03","Department of Pesticide Regulation","Environmental Protection Agency",2,"n02","Protect human health and the environment by regulating pesticide sales and use, and by fostering reduced-risk pest management.","https://www.cdpr.ca.gov/","No","Yes","Yes","No",3
"n04","Environmental Monitoring Branch","Environmental Protection Agency",2,"n03","Monitors the environment to determine the fate of pesticides, protecting the public and the environment from pesticide contamination through analyzing hazards and developing pollution prevention strategies.","https://www.cdpr.ca.gov/docs/emon/ehap.htm","No","Yes","Yes","No",4
"n05","Surface Water Protection Program","Environmental Protection Agency",2,"n04","Protects human health and the environment by preventing pesticides from adversely affecting our surface waters, by addressing both agricultural and nonagricultural sources of pesticide residues in surface waters.","https://www.cdpr.ca.gov/docs/emon/surfwtr/index.htm","No","Yes","Yes","No",5
"n06","Ground Water Protection Program","Environmental Protection Agency",2,"n04","Evaluate and samples for pesticides to determine if they may contaminate ground water, identifies areas sensitive to pesticide contamination and develops mitigation measures to prevent that movement.","https://www.cdpr.ca.gov/docs/emon/grndwtr/index.htm","No","Yes","Yes","No",5
"n07","Department of Toxic Substances Control","Environmental Protection Agency",2,"n02","Protect Californias people and environment from harmful effects of toxic substances by restoring contaminated resources, enforcing hazardous waste laws, reducing hazardous waste generation, and encouraging the manufacture of chemically safer products.","https://www.dtsc.ca.gov/","No","Yes","Yes","No",3
"n08","State Water Resources Control Board","Environmental Protection Agency",2,"n02","To preserve, enhance, and restore the quality of California's water resources and drinking water for the protection of the environment, public health, and all beneficial uses, and to ensure proper water resource allocation and efficient use, for the benefit of present and future generations.","https://www.waterboards.ca.gov/","No","Yes","Yes","No",3
"n09","401 Water Quality Certification and Wetlands Program","Environmental Protection Agency",2,"n08","Regulates discharges of fill and dredged material under Clean Water Act Section 401 and the Porter-Cologne Water Quality Control Act.","https://www.waterboards.ca.gov/water_issues/programs/cwa401/","No","Yes","Yes","Yes",4
"n10","Agriculture","Environmental Protection Agency",2,"n08","Regulates discharges from irrigated agricultural lands to prevent agricultural discharges from impairing water quality.","https://www.waterboards.ca.gov/water_issues/programs/agriculture/","No","No","Yes","No",4
"n12","Cannabis Cultivation Regulatory Programs","Environmental Protection Agency",2,"n08","The Water Boards Cannabis Cultivation Program has four main components to address potential water quality and quantity issues related to cannabis cultivation.","https://www.waterboards.ca.gov/water_issues/programs/cannabis/","No","No","Yes","No",4
"n13","Nonpoint Source Program","Environmental Protection Agency",2,"n08","Minimize NPS pollution from land use activities in agriculture, urban development, forestry, recreational boating and marinas, hydromodification and wetlands.","https://www.waterboards.ca.gov/water_issues/programs/nps/","No","No","Yes","No",4
"n14","Stormwater Program","Environmental Protection Agency",2,"n08","Improve the management of storm water as a resource.","https://www.waterboards.ca.gov/water_issues/programs/stormwater/","No","Yes","Yes","No",4
"n15","National Pollutant Discharge Elimination System Program","Environmental Protection Agency",2,"n08","Controls water pollution by regulating point sources that discharge pollutants into waters of the United States.","https://www.waterboards.ca.gov/water_issues/programs/npdes/","No","No","Yes","No",4
"n16","Water Quality Assessment","Environmental Protection Agency",2,"n08","Assess water quality monitoring data for California's surface waters every two years to determine if they contain pollutants at levels that exceed protective water quality standards.","https://www.waterboards.ca.gov/water_issues/programs/water_quality_assessment/","No","Yes","Yes","No",4
"n17","Impaired Water Bodies","Environmental Protection Agency",2,"n16","Assess data and report on the quality of surface waters throughout the state.","https://www.waterboards.ca.gov/water_issues/programs/water_quality_assessment/#impaired","No","Yes","No","No",5
"n18","Surface Water Ambient Monitoring program","Environmental Protection Agency",2,"n08","Provide resource managers, decision makers, and the public with timely, high-quality information to evaluate the condition of all waters throughout California.","https://www.waterboards.ca.gov/water_issues/programs/swamp/","No","Yes","No","No",4
"n19","Drinking Water Program","Environmental Protection Agency",2,"n08","Regulates public drinking water systems","https://www.waterboards.ca.gov/drinking_water/programs/","No","No","Yes","No",4
"n20","Water Rights Programs","Environmental Protection Agency",2,"n08","Establish and manage water rights","https://www.waterboards.ca.gov/waterrights/","No","No","Yes","No",4
"n21","GAMA","Environmental Protection Agency",2,"n06","Comprehensive groundwater quality monitoring program","https://www.waterboards.ca.gov/water_issues/programs/gama/about.html","No","Yes","No","No",6
"n22","Groundwater","Environmental Protection Agency",2,"n08","Comprehensive portal to access all programs with a groundwater component","https://www.waterboards.ca.gov/water_issues/programs/groundwater/","No","Yes","No","No",4
"n23","Office of Information Management and Analysis","Environmental Protection Agency",2,"n08","Collaborate monitoring efforts, accurately analyze data, make our data easily accessible, and create visualizations and reports that make data understandable across all audiences.","https://www.waterboards.ca.gov/resources/oima/","No","Yes","No","Yes",4
"n24","Office of Environmental Health Hazard Assessment","Environmental Protection Agency",2,"n02","Protect and enhance the health of Californians and our stateís environment through scientific evaluations that inform, support and guide regulatory and other actions.","https://oehha.ca.gov/","No","Yes","Yes","No",3
"n25","Natural Resources Agency","Natural Resources Agency",3,"n01","Restore, protect and manage the state's natural, historical and cultural resources for current and future generations using creative approaches and solutions based on science, collaboration and respect for all the communities and interests involved.","http://resources.ca.gov/","Yes","Yes","Yes","Yes",2
"n26","Department of Water Resources","Natural Resources Agency",3,"n25","Responsible for managing and protecting California's water resources.","https://water.ca.gov/","Yes","Yes","Yes","Yes",3
"n27","Engineering & Construction Program","Natural Resources Agency",3,"n26","Provide timely, cost-effective, and quality engineering, geology, construction, geodetic, and administrative services to the public, state water contractors, State and federal agencies, and other DWR organizations.","https://water.ca.gov/Programs/Engineering-And-Construction","Yes","Yes","No","No",4
"n28","Environmental Services Program","Natural Resources Agency",3,"n26","Ensures compliance with extensive federal, state, and local regulations.","https://water.ca.gov/Programs/Environmental-Services","No","Yes","No","Yes",4
"n29","Flood Management Program","Natural Resources Agency",3,"n26","Prevent loss of life and reduce property damage caused by floods by monitoring weather and river conditions, issuing forecasts, coordinating flood response, managing emergency information, participating in flood control projects, implementing FloodSAFE California, and inspecting and maintaining levees, bypasses, weirs, and other flood control structures.","https://water.ca.gov/Programs/Flood-Management","Yes","Yes","No","No",4
"n30","Groundwater Management Program","Natural Resources Agency",3,"n26","We are responsible for implementing the Sustainable Groundwater Management Act","https://water.ca.gov/Programs/Groundwater-Management","Yes","Yes","No","No",4
"n31","State Water Project Program","Natural Resources Agency",3,"n26","Manages the California State Water Project (SWP) to ensure adequate water supplies are available under various hydrologic and legal conditions while maintaining SWP operational flexibility.","https://water.ca.gov/Programs/State-Water-Project","Yes","Yes","Yes","No",4
"n32","California Water Plan","Natural Resources Agency",3,"n26","The State's strategic plan for managing and developing water resources provides a collaborative planning framework for elected officials, agencies, tribes, water and resource managers, businesses, academia, stakeholders, and the public to develop findings and recommendations and make informed decisions for our water future.","https://water.ca.gov/Programs/California-Water-Plan","No","Yes","No","No",4
"n33","Bay Delta","Natural Resources Agency",3,"n26","Ensures water supply reliability and environmental needs are equally met for California.","https://water.ca.gov/Programs/Bay-Delta","No","Yes","Yes","Yes",4
"n34","Water Use & Efficiency","Natural Resources Agency",3,"n26","Provides assistance for improving water use efficiency and developing and meeting water use requirements","https://water.ca.gov/Programs/Water-Use-And-Efficiency","No","Yes","No","Yes",4
"n35","Department of Conservation","Natural Resources Agency",3,"n25","Balances today's needs with tomorrow's challenges and fosters intelligent, sustainable, and efficient use of California's energy, land, and mineral resources.","http://www.conservation.ca.gov/","Yes","Yes","Yes","Yes",3
"n36","CA Geological Survey","Natural Resources Agency",3,"n35","The California Geological Survey (CGS) provides scientific products and services about the state's geology, seismology and mineral resources, including their related hazards, that affect the health, safety, and business interests of the people of California.","https://www.conservation.ca.gov/cgs","No","Yes","No","Yes",4
"n37","Forest and Watershed Geology Program","Natural Resources Agency",3,"n36","The CGS Forest and Watershed Geology Program (FWGP) provides technical information and advice about landslides, erosion, sedimentation and other geologic hazards to other Califonria agencies, industries, and the public that make land-use decisions on California's forested lands and in watersheds where proposed activities may affect water quality and fish habitat.","http://www.conservation.ca.gov/cgs/fwg","No","Yes","No","Yes",5
"n38","Division of Oil, Gas, and Geothermal Resources","Natural Resources Agency",3,"n35","Oversee the drilling, operation, maintenance, and plugging and abandonment of oil, natural gas, and geothermal wells.","http://www.conservation.ca.gov/dog/Pages/Index.aspx","Yes","No","Yes","No",4
"n39","Department of Forestry and Fire Protection","Natural Resources Agency",3,"n25","Protect life and property through fire prevention engineering programs, law and code enforcement and education.","http://calfire.ca.gov/index","Yes","Yes","Yes","No",3
"n40","Resource Management Program","Natural Resources Agency",3,"n39","CAL FIRE's mission emphasizes the management and protection of California's natural resources. The Resource Management Program is an integral part of that responsibility.","http://www.calfire.ca.gov/resource_mgt/resource_mgt","Yes","Yes","No","No",4
"n41","Department of Parks and Recreation","Natural Resources Agency",3,"n25","Provide for the health, inspiration and education of the people of California by helping to preserve the state's extraordinary biological diversity, protecting its most valued natural and cultural resources, and creating opportunities for high-quality outdoor recreation.","https://www.parks.ca.gov/","No","Yes","No","No",3
"n42","Department of Fish and Wildlife","Natural Resources Agency",3,"n25","Manage California's diverse fish, wildlife, and plant resources, and the habitats upon which they depend, for their ecological values and for their use and enjoyment by the public.","https://www.wildlife.ca.gov/","No","Yes","No","No",3
"n43","Ecosystem Conservation Division","Natural Resources Agency",3,"n42","Manage California's diverse fish, wildlife, and plant resources, and the habitats upon which they depend, for their ecological values and for their use and enjoyment by the public.","https://www.wildlife.ca.gov/Conservation","No","Yes","No","No",4
"n44","Water Branch","Natural Resources Agency",3,"n43","Fulfill our public trust responsibility to the State of California by providing sound leadership in the balanced and integrated management of California's water resources, for the benefit of aquatic and terrestrial species and those habitats upon which they depend.","https://www.wildlife.ca.gov/Conservation/Watersheds","No","Yes","No","No",5
"n45","Energy Commission","Natural Resources Agency",3,"n25","Ensure that a reliable supply of electrical energy is maintained at a level consistent with the need for such energy for protection of public health and safety, for promotion of the general welfare, and for environmental quality protection.","http://www.energy.ca.gov/","Yes","Yes","Yes","Yes",3
"n46","Energy Assessments Division","Natural Resources Agency",3,"n45","Assess California's energy systems and trends, providing information for decision-makers and the public resulting in policies that balance the need for adequate resources with economic, public health, safety, and environmental goals.","http://www.energy.ca.gov/assessments/","Yes","Yes","Yes","Yes",4
"n47","Renewable Energy Division","Natural Resources Agency",3,"n45","To promote all feasible means of energy and water conservation and all feasible uses of alternative energy and water supply sources.","http://www.energy.ca.gov/renewables/renewable_links.html","Yes","Yes","Yes","Yes",4
"n48","Wildlife Conservation Board","Natural Resources Agency",3,"n25","Protects, restores and enhances California's spectacular natural resources for wildlife and for the public's use and enjoyment in partnership with conservation groups, government agencies and the people of California.","https://wcb.ca.gov/","No","Yes","Yes","No",3
"n49","Habitat Enhancement and Restoration Program","Natural Resources Agency",3,"n48","The Board's general restoration program that includes all projects that fall outside the Board's other mandated programs","https://www.wcb.ca.gov/Programs/Habitat-Enhancement","No","Yes","No","No",4
"n50","Riparian Habitat Conservation Program","Natural Resources Agency",3,"n48","Protect, preserve, restore and enhance riparian habitat throughout California.","https://www.wcb.ca.gov/Programs/Riparian","No","Yes","No","No",4
"n51","Streamflow Enhancement Program","Natural Resources Agency",3,"n48","Awards grant funding on a competitive basis to projects representing the mission of the WCB and address the three goals of the California Water Action Plan: reliability, restoration, and resilience.","https://www.wcb.ca.gov/Programs/Stream-Flow-Enhancement","No","Yes","Yes","No",4
"n52","Inland Wetlands Conservation Program","Natural Resources Agency",3,"n48","Created to assist the Central Valley Joint Venture (CVJV) in its mission is to protect, restore, and enhance wetlands and associated habitats.","https://www.wcb.ca.gov/Programs/Wetlands","No","Yes","No","No",4
"n53","Wildlife Conservation Monitoring Program","Natural Resources Agency",3,"n48","Reports on all grant funded conservation easements","https://www.wcb.ca.gov/Programs/Monitoring","No","Yes","Yes","No",4
"n54","Central Valley Flood Protection Board","Natural Resources Agency",3,"n25","Responsible for ensuring that appropriate standards are met for the construction, maintenance, and protection of the flood control system that protects life, property, and wildlife habitat in California's vast and diverse Central Valley from the devastating effects of flooding.","http://cvfpb.ca.gov/","No","No","Yes","No",3
"n55","Water Commission","Natural Resources Agency",3,"n25","Advises the Director of the Department of Water Resources on matters within the Department's jurisdiction, approves rules and regulations, and monitors and reports on the construction and operation of the State Water Project.","https://cwc.ca.gov/Pages/Home.aspx","No","No","Yes","No",3
"n56","Water Storage Investment Program","Natural Resources Agency",3,"n55","Support the California Water Action Plan and its call for a safe and reliable supply of water to support the state's economy, environment, and quality of life.","https://cwc.ca.gov/Pages/PublicBenefits1.aspx","No","No","Yes","No",4
"n57","Colorado River Board of California","Natural Resources Agency",3,"n25","Protect the interests and rights of the State of California, its agencies and citizens, in the water and power resources of the Colorado River System.","http://www.crb.ca.gov/","Yes","Yes","Yes","Yes",3
"n58","Water Use and Accounting under the Law of the River","Natural Resources Agency",3,"n57","Accounting of water uses in the Upper Basin","http://www.crb.ca.gov/programs/water%20use%20and%20accounting.html","Yes","No","Yes","No",4
"n59","Binational Issues and Activities with Mexico","Natural Resources Agency",3,"n57","Accounting related to meeting the 1944 Water Treaty with Mexico.","http://www.crb.ca.gov/programs/water-treaty-mexico.html","Yes","No","Yes","No",4
"n60","CA 4.4 Plan","Natural Resources Agency",3,"n57","Maintain water uses within its basic mainstream apportionment.","http://www.crb.ca.gov/programs/californias-4-4-plan.html","Yes","No","Yes","No",4
"n61","Colorado River Basin Salinity Control Program","Natural Resources Agency",3,"n57","Implement measures that enhance and improve the water quality of the Colorado River System for use in the United States and Mexico.","http://www.crb.ca.gov/programs/colorado-river-basin-salinity-control.html","Yes","No","Yes","No",4
"n62","Colorado River Basin Water Supply & Demand Study","Natural Resources Agency",3,"n57","Identify current and future imbalances in water supply and demand in the Basin through 2060, and to provide a series of potential adaptive and mitigation strategies to address supply imbalances.","http://www.crb.ca.gov/programs/colorado-river-basin-study.html","No","Yes","Yes","No",4
"n63","Glen Canyon Dam Adaptive Management Program","Natural Resources Agency",3,"n57","Effects of dam operations on downstream resources would be continually monitored and assessed.","http://www.crb.ca.gov/programs/glen-canyon-dam-adapt-mgmt.html","No","Yes","No","Yes",4
"n64","Lower Colorado Multi-Species Conservation Program","Natural Resources Agency",3,"n57","Cooperative effort among the Lower Basin States of Arizona, California, and Nevada, several federal agencies and other to balance the use of the Colorado River water resources with the conservation of native species and their habitats.","http://www.crb.ca.gov/programs/lower-colorado-multispecies-conservation.html","No","Yes","No","Yes",4
"n65","Lower Colorado Water Supply Project","Natural Resources Agency",3,"n57","Supply water for domestic, municipal, industrial, and recreational purposes.","http://www.crb.ca.gov/programs/lower-colorado-water-supply.html","No","Yes","No","No",4
"n66","Coastal Conservancy","Natural Resources Agency",3,"n25","Protect and improve natural lands and waterways, help people access and enjoy the outdoors, and sustain local economies along the length of Californiaês coast and around San Francisco Bay.","http://scc.ca.gov/","No","Yes","No","No",3
"n67","Conservation Corps","Natural Resources Agency",3,"n25","Our program provides young men and women 18 ñ 25 years old a year of paid service to the State of California. During their year of service, Corpsmembers work on environmental projects and respond to natural and man-made disasters.","https://ccc.ca.gov/","No","Yes","No","No",3
"n68","State Lands Commission","Natural Resources Agency",3,"n25","Provides the people of California with effective stewardship of the lands, waterways, and resources entrusted to its care through preservation, restoration, enhancement, responsible economic development, and the promotion of public access.","http://www.slc.ca.gov/","No","Yes","Yes","No",3
"n69","Environmental Planning and Management Division","Natural Resources Agency",3,"n68","Provides policy and technical analysis to the Commission and its Executive Officer, and ensures compliance with the California Environmental Quality Act (CEQA).",NA,"No","Yes","Yes","No",4
"n70","Land Management Division","Natural Resources Agency",3,"n68","Primary responsibility for the surface management of all sovereign and school lands in California.",NA,"No","Yes","No","No",4
"n71","Mineral Resources Management Division","Natural Resources Agency",3,"n67","Responsible for the safe and environmentally sound development, regulation, and management of all energy and mineral resources on sovereign and school lands under the jurisdiction of the Commission.",NA,"No","Yes","No","No",4
"n72","Conservation Program","Environmental Protection Agency",2,"n08","Improving conservation and efficiency of water resources","https://www.waterboards.ca.gov/water_issues/programs/conservation_portal/","No","Yes","Yes","No",4
"n73","Government Operations Agency","Government Operations Agency",4,"n01","responsible for administering state operations including procurement, information technology, and human resources. The mission of GovOps is to improve management and accountability of government programs, increase efficiency, and promote better and more coordinated operational decisions.","https://www.govops.ca.gov/","No","Yes","No","Yes",2
