platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
d01,Built,NA,NA,Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infrastructure,18
d02,Natural,NA,NA,Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infrastructure,11
d03,Quality,NA,NA,Quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quality,15
d04,Regulatory,NA,NA,Quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quality,13
d05,Evapotranspiration,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,3
d06,Extreme Events,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,5
d07,Glacial and Snow,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,3
d08,Groundwater,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,9
d09,Meteorology,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,5
d10,Precipitation,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,4
d11,Reservoir,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,2
d12,Soil,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,3
d13,Surface Water,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,5
d14,Hydropower,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,4
d15,Irrigation,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,3
d16,Use,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,6
d17,Utilities,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,8
d18,Management Plans,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,6
