"from","to"
"p01","d07"
"p01","d09"
"p01","d10"
"p02","d04"
"p02","d08"
"p02","d16"
"p03","d01"
"p03","d02"
"p03","d04"
"p03","d05"
"p03","d07"
"p03","d08"
"p03","d09"
"p03","d10"
"p03","d13"
"p03","d15"
"p04","d08"
"p04","d16"
"p04","d18"
"p05","d10"
"p06","d02"
"p06","d03"
"p06","d13"
"p07","d01"
"p07","d02"
"p07","d03"
"p07","d04"
"p07","d06"
"p07","d07"
"p07","d09"
"p07","d10"
"p07","d12"
"p07","d13"
"p07","d16"
"p09","d18"
"p10","d03"
"p12","d03"
"p12","d04"
"p12","d17"
"p13","d03"
"p13","d04"
"p14","d18"
"p15","d03"
"p15","d12"
"p15","d17"
"p16","d08"
"p16","d16"
"p17","d04"
"p17","d18"
"p18","d01"
"p18","d02"
"p18","d03"
"p18","d04"
"p18","d07"
"p18","d08"
"p18","d10"
"p18","d11"
"p18","d13"
"p18","d15"
"p18","d18"
"p19","d01"
"p19","d07"
"p19","d08"
"p19","d09"
"p19","d10"
"p19","d11"
"p19","d13"
"p19","d15"
"p19","d16"
"p19","d18"
"p20","d11"
"p20","d13"
"p21","d08"
"p21","d13"
"p21","d16"
"p22","d01"
"p22","d04"
"p22","d08"
"p22","d16"
"p23","d16"
"p25","d03"
"p26","d04"
"p26","d17"
"p27","d03"
"p27","d13"
"p28","d03"
"p28","d04"
"p29","d03"
"p30","d04"
"p31","d03"
"p31","d17"
"p32","d04"
"p32","d17"
"p33","d04"
"p33","d17"
"p35","d03"
"p35","d04"
"p35","d06"
"p35","d09"
"p35","d10"
"p35","d17"
"p38","d03"
"p38","d04"
"p38","d06"
"p38","d08"
"p38","d09"
"p38","d10"
"p38","d11"
"p38","d13"
"p39","d17"
"p40","d01"
"p40","d04"
"p40","d06"
"p42","d18"
"p48","d17"
"p50","d01"
"p50","d02"
"p50","d05"
"p50","d09"
"p50","d10"
"p50","d13"
"p50","d15"
"p51","d08"
"p51","d13"
"p51","d15"
NA,NA
