"from","to"
"n01","n02"
"n01","n21"
"n01","n27"
"n01","n31"
"n01","n34"
"n01","n36"
"n01","n39"
"n01","n43"
"n02","n03"
"n02","n04"
"n02","n05"
"n02","n06"
"n02","n07"
"n02","n08"
"n02","n15"
"n08","n09"
"n08","n10"
"n08","n11"
"n08","n12"
"n08","n13"
"n08","n14"
"n15","n16"
"n15","n17"
"n15","n18"
"n15","n19"
"n15","n20"
"n21","n22"
"n21","n25"
"n21","n26"
"n22","n23"
"n22","n24"
"n27","n28"
"n28","n29"
"n28","n30"
"n31","n32"
"n32","n33"
"n34","n35"
"n36","n37"
"n37","n38"
"n39","n40"
"n40","n41"
"n40","n42"
