"platformID","platform","entity","entityID","webLabel","heatmapLabel","tier1and2entity","tier1and2entityID","website","easeDiscover","methodDiscover","easeAccess","methodAccess","LinktoSource","fileFormat","metadata","metadataFormat","dataDefinitions","metaAttributes","metadataStandards","timeliness","lengthAvailable","group","count"
"d01","Built",NA,NA,"Infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infrastructure",7
"d02","Natural",NA,NA,"Infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infrastructure",5
"d03","Quality",NA,NA,"Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quality",14
"d04","Regulatory",NA,NA,"Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quality",16
"d05","Evapotranspiration",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",2
"d06","Extreme Events",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",4
"d07","Glacial and Snow",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",5
"d08","Groundwater",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",10
"d09","Meteorology",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",7
"d10","Precipitation",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",9
"d11","Reservoir",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",4
"d12","Soil",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",2
"d13","Surface Water",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",11
"d14","Hydropower",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",0
"d15","Irrigation",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",5
"d16","Use",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",8
"d17","Utilities",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",9
"d18","Management Plans",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",7
"p01","Observations Data","Colorado Avalance Information Center","n03","CDNR","CDNR: Observations Data","Department of Natural Resources","n02","https://avalanche.state.co.us/observations/weather-stations/","Medium","Website; Catalog","Yes","Copy and Paste; Batch Export","Not Applicable","html; csv","yes","in data","No","Descriptive","No","Daily or Higher","Limited Record","hub",5
"p02","Colorado Oil and Gas Information System","Colorado Oil and Gas Conservation Commision","n06","COGCC","COGCC: Colorado Oil and Gas Information System","Department of Natural Resources","n02","https://cogcc.state.co.us/COGIS/LiveQuery.html","High","Catalog","Yes","Individual Export; Copy and Paste","Not Applicable","excel; pdf; html","yes","in data","No","Descriptive; Structural","No","Monthly or Higher","Period of Record","hub",5
