"platformID","entityID","platform","Built","Natural","Quality","Regulatory","Evapotranspiration","ExtremeEvents","GlacialandSnow","Groundwater","Meteorology","Precipitation","Reservoir","Soil","SurfaceWater","Hydropower","Irrigation","Use","Utilities","ManagementPlans"
"p02","n24","DHS-FEMA: Flood Map Service Center",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"p01","n26","DHS-IP: HSIN-CI Dams Portal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p03","n26","DHS-IP: IP Gateway",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p49","n08","DOC-NOAA: Climate Data Online",0,0,0,0,2,0,2,0,2,2,0,2,0,0,0,0,0,0
"p55","n08","DOC-NOAA: National Water Model",0,1,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,0
"p50","n08","DOC-NOAA: OneStop",0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0
"p51","n09","DOC-NWS: Advanced Hydrologic Prediction Service",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"p52","n09","DOC-NWS: Climate Prediction Center",0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0
"p53","n09","DOC-NWS: National Operational Hydrologic Remote Sensing Center",0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
"p54","n09","DOC-NWS: Precipitation Frequency Data Server",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"p04","n11","DOD-NGIA: No Public Portal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p05","n12","DOD-USACE: Corps CWMS",1,1,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0
"p07","n22","DOE-EIA: Renewable and Alternative Fuels",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"p08","n20","DOE-NREL: NREL Data Catalog",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"p09","n16","DOE-ORNL: HydroGIS Viewer",1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"p06","n13","DOE: Atmospheric Radiation Measurement",0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0
"p10","n27","DOI-ACWI: National Groundwater Monitoring Network",0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"p12","n28","DOI-BoR: Agrimet",0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0
"p11","n28","DOI-BoR: Hydromet",0,0,3,0,0,0,0,0,2,2,2,0,2,0,4,0,0,0
"p13","n28","DOI-BoR: Reclamation Water Information System",0,0,3,0,2,0,2,0,2,2,2,0,2,4,4,4,0,0
"p14","n29","DOI-FWS: National Wetlands Inventory",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
