"from","to"
"n01","n02"
"n02","n03"
"n02","n04"
"n02","n05"
"n02","n06"
"n01","n07"
"n07","n08"
"n08","n09"
"n01","n10"
"n10","n11"
"n10","n12"
"n01","n13"
"n13","n14"
"n14","n15"
"n15","n16"
"n15","n17"
"n15","n18"
"n15","n19"
"n15","n20"
"n15","n21"
"n13","n22"
"n01","n23"
"n23","n24"
"n23","n25"
"n25","n26"
"n01","n27"
"n27","n28"
"n27","n29"
"n27","n30"
"n30","n31"
"n01","n32"
"n01","n33"
"n33","n34"
"n01","n35"
"n35","n36"
"n35","n37"
"n35","n38"
"n35","n39"
"n39","n40"
"n40","n41"
"n35","n42"
