platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
d01,Built,NA,NA,Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infrastructure,6
d02,Natural,NA,NA,Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infrastructure,7
d03,Quality,NA,NA,Quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quality,15
d04,Regulatory,NA,NA,Quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quality,6
d05,Evapotranspiration,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,7
d06,Extreme Events,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,7
d07,Glacial and Snow,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,16
d08,Groundwater,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,7
d09,Meteorology,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,20
d10,Precipitation,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,27
d11,Reservoir,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,8
d12,Soil,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,15
d13,Surface Water,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,19
d14,Hydropower,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,4
d15,Irrigation,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,6
d16,Use,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,5
d17,Utilities,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,1
d18,Management Plans,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,0
p01,HSIN-CI Dams Portal,n26,Office of Infrastructure Protection,DHS-IP,DHS-IP: HSIN-CI Dams Portal,Department of Homeland Security,6,https://www.dhs.gov/hsin-dams-portal,No,Unknown,Permission Required,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Current Only,hub,5
p02,Flood Map Service Center,n24,Federal Emergency Management Agency,DHS-FEMA,DHS-FEMA: Flood Map Service Center,Department of Homeland Security,6,https://msc.fema.gov/portal/home,Low,Website,Software Required,Individual Export; Web Services,Not Applicable,pdf; software specific; shapefile,No,xml,Yes,Administrative; Descriptive; Structural,No,Irregular,Unknown,hub,5
p03,IP Gateway,n26,Office of Infrastructure Protection,DHS-IP,DHS-IP: IP Gateway,Department of Homeland Security,6,https://www.dhs.gov/ipgateway,No,Unknown,Training Required,Unknown,Not Applicable,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
p04,No Public Portal,n11,National Geospatial Intelligence Agency,DOD-NGIA,DOD-NGIA: No Public Portal,Department of Defense,4,https://www.nga.mil/Pages/Default.aspx,No,Unknown,No,Unknown,Not Applicable,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
p05,Corps CWMS,n12,Army Corps of Engineers,DOD-USACE,DOD-USACE: Corps CWMS,Department of Defense,4,http://water.usace.army.mil,Medium,Map,Yes,Individual Export; Web Services,Not Applicable,csv; png; image,Yes,html,No,Hybrid,No,Daily or Higher,Limited Record,hub,5
p06,Atmospheric Radiation Measurement,n13,Department of Energy,DOE,DOE: Atmospheric Radiation Measurement,Department of Energy,5,https://www.arm.gov/data,High,Catalog,Registration Required,Individual Export; Web Services,Not Applicable,netCDF,No,Unknown,Unknown,Unknown,Unknown,Irregular,Period of Record,hub,5
p07,Renewable and Alternative Fuels,n22,Energy Information Administration,DOE-EIA,DOE-EIA: Renewable and Alternative Fuels,Department of Energy,5,https://www.eia.gov/renewable/data.php#hydro,Low,Website,Yes,Batch Export,Not Applicable,excel,No,No,No,No,No,Yearly or Higher,Limited Record,hub,5
p08,NREL Data Catalog,n20,National Renewable Energy Laboratory,DOE-NREL,DOE-NREL: NREL Data Catalog,Department of Energy,5,https://data.nrel.gov/,High,Catalog,Yes,Individual Export; Web Services,Not Applicable,excel; ascii; zip,Yes,in data,No,Administrative,No,Irregular,Varies,hub,5
p09,HydroGIS Viewer,n16,Oak Ridge National Laboratory,DOE-ORNL,DOE-ORNL: HydroGIS Viewer,Department of Energy,5,https://nhaap.ornl.gov/content/hydrogis-0,Medium,Map; Website,Yes,Unknown,Not Applicable,access; excel; shapefile,Yes,html,No,Descriptive; Structural,No,Irregular,Limited Record,hub,5
