"from","to"
"n01","n02"
"n01","n28"
"n01","n33"
"n01","n35"
"n01","n39"
"n01","n40"
"n02","n03"
"n02","n04"
"n02","n24"
"n02","n27"
"n02","n43"
"n04","n05"
"n04","n06"
"n04","n07"
"n04","n12"
"n04","n13"
"n04","n17"
"n07","n08"
"n07","n09"
"n07","n10"
"n07","n11"
"n13","n14"
"n13","n15"
"n13","n16"
"n17","n18"
"n17","n19"
"n17","n20"
"n17","n21"
"n17","n22"
"n17","n23"
"n24","n25"
"n24","n26"
"n28","n29"
"n28","n32"
"n29","n30"
"n29","n31"
"n33","n34"
"n35","n36"
"n36","n37"
"n37","n38"
"n40","n41"
"n41","n42"
