platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
d01,Built,NA,NA,Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infrastructure,9
d02,Natural,NA,NA,Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infrastructure,6
d03,Quality,NA,NA,Quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quality,19
d04,Regulatory,NA,NA,Quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quality,25
d05,Evapotranspiration,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,0
d06,Extreme Events,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,7
d07,Glacial and Snow,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,0
d08,Groundwater,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,5
d09,Meteorology,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,1
d10,Precipitation,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,1
d11,Reservoir,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,1
d12,Soil,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,1
d13,Surface Water,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,2
d14,Hydropower,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,0
d15,Irrigation,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,1
d16,Use,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,1
d17,Utilities,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,11
d18,Management Plans,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,8
p01,Online Document Library,n04,Water Resources,DEQ-Water Resources,DEQ-Water Resources: Online Document Library,Department of Environmental Quality,2,https://edocs.deq.nc.gov/WaterResources/Welcome.aspx?cr=1,Low,Website,Yes,Individual Export,Not Applicable,pdf,Yes,html,No,Descriptive,No,Irregular,Limited Record,hub,5
p02,"Forms, Reports, and Publications",n04,Water Resources,DEQ-Water Resources,"DEQ-Water Resources: Forms, Reports, and Publications",Department of Environmental Quality,2,https://deq.nc.gov/about/divisions/water-resources/forms-publications,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Yearly or Higher,Period of Record,hub,5
