"platformID","entityID","platform","Built","Natural","Quality","Regulatory","Evapotranspiration","ExtremeEvents","GlacialandSnow","Groundwater","Meteorology","Precipitation","Reservoir","Soil","SurfaceWater","Hydropower","Irrigation","Use","Utilities","ManagementPlans"
"p03","n17","EMNRD-OCD: Data and Statistics",0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p05","n16","EMNRD-OCD: OCD Permitting Well Search",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p04","n16","EMNRD-OCD: Well Data",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p02","n13","EMNRD: State Forestry",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p13","n28","ENV-Construction: Infrastructure Development Report",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"p42","n54","ENV-DOE-OB: Los Alamos Oversight Section",0,0,3,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0
"p43","n54","ENV-DOE-OB: Sandia Oversight Section",0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"p06","n20","ENV-DWW: Drinking Water Watch",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"p16","n36","ENV-EHEB: Environmental Health Data",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"p15","n36","ENV-EHEB: Environmental Public Health Tracking",0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
"p12","n29","ENV-Game & Fish: Weekly Stocking Report",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"p07","n21","ENV-GWQB: List of Ag Discharge Permits",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"p08","n21","ENV-GWQB: Remediation & Superfund Sites",0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"p14","n31","ENV-Liquid Waste Bureau: Wastewater Treatment System Permit Finder",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"p11","n26","ENV-SWQB: NPDES Permits",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p09","n24","ENV-SWQB: Total Maximum Daily Loads",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p10","n18","ENV: Interactive GIS Mapper",1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p41","n50","NMSU: New Mexico Climate Center",0,0,0,0,2,2,0,0,2,2,0,2,0,0,0,0,0,0
"p44","n55","NMSU: Statewide Water Assessment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"p47","n60","NMT-BGMR: NMBGMR Interative Map",1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"p45","n57","NMT-GO-TECH: Produced Water Data",0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"p35","n44","OSE-Hydrology: Aquifer Test",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"p36","n44","OSE-Hydrology: Espanola Basin Technology Advisory Group GIS Data",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p37","n44","OSE-Hydrology: Statewide Groundwater Level Monitoring Program",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"p23","n40","OSE-ISC: Canadian River Basin",0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4
"p24","n40","OSE-ISC: Colorado River Basin",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,4
"p27","n40","OSE-ISC: Lower Pecos River Basin",0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0
"p28","n40","OSE-ISC: Mimbres River Basin",0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,4,0,0
"p25","n40","OSE-ISC: Pecos River Basin",0,0,0,0,0,0,0,2,0,0,2,0,2,0,4,0,0,0
"p29","n40","OSE-ISC: Rio Chama River Basin",0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,4,0
"p30","n40","OSE-ISC: Rio Gallinas River Basin",0,0,0,0,0,0,2,0,0,2,2,0,2,0,4,4,0,0
"p26","n40","OSE-ISC: Rio Grande River Basin",1,0,0,0,0,0,0,0,0,0,2,0,2,0,4,4,0,0
"p31","n40","OSE-ISC: River Basin Compacts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"p32","n40","OSE-ISC: Strategic Water Reserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"p34","n41","OSE-WRAP: Real Time Information & Measurement System",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0
"p33","n41","OSE-WRAP: Water Master Reports",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"p39","n46","OSE-WUC: NM Water Audits",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"p40","n46","OSE-WUC: Subdivision Review",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"p38","n46","OSE-WUC: Water Use",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"p21","n39","OSE: Drought in New Mexico",0,0,0,0,0,2,2,0,0,2,2,0,2,0,0,0,0,0
"p20","n39","OSE: Gallery for NM OSE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p19","n39","OSE: Geospatial Open Data Site",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p17","n39","OSE: NM Water Rights Reporting System",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0
"p18","n39","OSE: Points of Diversion",1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0
