entityID,entity,tier1and2entity,tier1and2entityID,entityIDAbove,mission,website,operational,decision,regulatory,research,level
n01,New Mexico,New Mexico,1,NA,NA,http://www.newmexico.gov/,Yes,Yes,Yes,Yes,1
n02,State Land Office,State Land Office,2,n01,Our purpose is funding public education and other public institutions; overseeing 9 million surface acres and 13 million mineral acres.,http://www.nmstatelands.org/,Yes,No,Yes,No,2
n03,"Oil, Gas and Minerals",State Land Office,2,n02,"Manages nonrenewable resources, evaluate those resources, issue all mineral leases, administer the monthly oil and gas lease sales, process and audit mineral royalty revenue, and administer leases for oil, natural gas, carbon dioxide,... geothermal energy, and other minerals. The Division also administers water and salt water discharge easements, water rights agreements and water exploration and development easements.",http://www.nmstatelands.org/Mineral_Resources.aspx,No,No,Yes,No,3
n04,Surface Resources,State Land Office,2,n02,"Manages programs dealing with watershed health, site remediation, illegal dumping, prescribed fire, wildlife management, cultural resources, agricultural leasing, and outdoor recreation.",http://www.nmstatelands.org/FieldOverview.aspx,Yes,No,Yes,No,3
n05,Department of Agriculture,Department of Agriculture,3,n01,None found,http://www.nmda.nmsu.edu/,Yes,Yes,No,Yes,2
n06,Agricultural Programs and Resources,Department of Agriculture,3,n05,"Monitors, analyzes, and disseminates information to influence policy decisions affecting viability of agriculture and sustainability of New Mexico’s natural resources",http://www.nmda.nmsu.edu/home/divisions/apr/,Yes,Yes,No,Yes,3
n07,Soil and Water Conservation Districts,Department of Agriculture,3,n06,"SWCDs conserve and develop the natural resources of the state, provide for flood control, preserve wildlife, and protect the tax base.  This work promotes the health, safety, and general welfare of the people of New Mexico.",http://www.nmda.nmsu.edu/home/divisions/apr/soil-and-water-conservation-districts/,Yes,Yes,No,No,4
n08,Acequia and Community Ditch Fund,Department of Agriculture,3,n06,"To provide financial assistance for acequia and community ditch systems for developing hydrological studies, acquring technical and legal research, and other services necessary to conserve and protect water.",http://www.nmda.nmsu.edu/home/divisions/apr/acequia-and-community-ditch-fund/,No,Yes,No,Yes,4
n10,"Energy, Minerals and Natural Resources Department","Energy, Minerals and Natural Resources Department",4,n01,To position New Mexico as a national leader in the energy and natural resources areas for which the Department is responsible,http://www.emnrd.state.nm.us/,No,Yes,Yes,No,2
n11,Energy Conservation and Management,"Energy, Minerals and Natural Resources Department",4,n10,"Develops and implements effective clean energy programs — renewable energy, energy efficiency, alternative  fuels, and safe transportation of radioactive waste — to promote economic growth, environmental sustainability, and wise stewardship of our natural resources while protecting public health and safety for New Mexico and its citizens.",http://www.emnrd.state.nm.us/ECMD/,No,Yes,No,No,3
n12,Wastewater Efficiency Program,"Energy, Minerals and Natural Resources Department",4,n11,"Will create, with the input of local communities, a proactive long-range program to significantly reduce wastewater utility costs by applying energy benchmarking, modern software tools, energy efficiency or renewable energy.",http://www.emnrd.state.nm.us/ECMD/wastewaterefficiencyprogram.html,No,Yes,No,No,4
n13,State Forestry,State Forestry,4,n10,"To promote healthy, sustainable forests and watersheds for the benefit of current generations and those to come.",http://www.emnrd.state.nm.us/SFD/,No,Yes,No,No,3
n14,Forest and Watershed Health Program,State Forestry,4,n13,Facilitate implementation of the New Mexico Forest and Watershed Health Plan.,http://www.emnrd.state.nm.us/SFD/FWHPlan/ForestAndWaterShedHealth.html,No,Yes,No,No,4
n15,All About Watersheds,State Forestry,4,n14,New Mexico's forest and watershed health information clearninghouse,https://allaboutwatersheds.org//,No,Yes,No,No,5
n16,Oil Conservation Division,Oil Conservation Division,4,n10,Regulates oil and gas activity in New Mexico.,http://www.emnrd.state.nm.us/OCD/,No,No,Yes,No,3
n17,Environmental Bureau,Oil Conservation Division,4,n16,Develops and enforces all of the environmental regulations and programs in the oil and gas industry for the prevention of ground water contamination.,http://www.emnrd.state.nm.us/OCD/envbureau.html,No,No,Yes,No,4
n18,Environment Department,Environment Department,7,n01,To protect and restore the environment and to foster a healthy and prosperous New Mexico for present and future generations.,https://www.env.nm.gov/,Yes,Yes,Yes,No,2
n19,Water Protection Division,Environment Department,7,n18,Responsible for overseeing water infrastructure systems and water quality issues throughout the state,https://www.env.nm.gov/water/,Yes,No,Yes,No,3
n20,Drinking Water Bureau,Environment Department,7,n19,"Our mission is to preserve, protect and improve New Mexico’s drinking water quality for present and future generations.",https://www.env.nm.gov/drinking_water/,Yes,Yes,Yes,No,4
n21,Ground Water Quality Bureau,Environment Department,7,n19,"Protect the environmental quality of New Mexicos groundwater resources as mandated by the Water Quality Act and the New Mexico Ground and Surface Water Protection Regulations, and to identify, investigate, and clean-up contaminated sites which pose significant risks to human health and the environment.",https://www.env.nm.gov/gwqb/,No,No,Yes,No,4
n22,Agricultral Compliance Section,Environment Department,7,n21,Prepares groundwater discharge permits for discharges from dairies and non-dairy agricultural facilities that have the potential to impact groundwater quality.,https://www.env.nm.gov/gwqb/acs/,No,No,Yes,No,5
n23,Remediation Oversight,Environment Department,7,n21,"Encourages and oversees voluntary efforts to clean up contaminated sites, and administers the Ground and Surface Water Protection Regulations that require responsible parties to clean up contaminated soil and groundwater.",https://www.env.nm.gov/gwqb/ros/,No,No,Yes,No,5
n24,Surface Water Quality Bureau,Environment Department,7,n19,"To preserve, protect, and improve New Mexico’s surface water quality for present and future generations",https://www.env.nm.gov/surface-water-quality/,Yes,No,Yes,No,4
n25,"Monitoring, Assessment & Standards Section",Environment Department,7,n24,"Responsible for monitoring water quality, developing water quality standards, and assessing TMDLs for CWA reporting.",https://www.env.nm.gov/surface-water-quality/monitoring-assessment-and-standards-section/,Yes,No,Yes,No,5
n26,Point Source Regulation Section,Environment Department,7,n24,"Responsible for the protection of surface water quality through implementation of states Ground and Surface Water Protection Regulations dealing with point source discharges, spill reporting, etc.",https://www.env.nm.gov/surface-water-quality/point-source-regulation-section/,No,No,Yes,No,5
n27,Watershed Protection Section,Environment Department,7,n24,"Administers the nonpoint source, wetlands, and river stewardship programs.",https://www.env.nm.gov/surface-water-quality/watershed-protection-section/,No,Yes,Yes,No,5
n28,Construction Programs Bureau,Environment Department,7,n19,"Helping communities develop sustainable and secure water, wastewater and solid waste infrastructure through funding and technical assistance.",https://www.env.nm.gov/construction-programs/,Yes,No,No,No,4
n29,Game and Fish Department,Environment Department,7,n10,"To conserve, regulate, propagate and protect the wildlife and fish within the state of New Mexico using a flexible management system that ensures sustainable use for public food supply, recreation and safety; and to provide for off-highway motor vehicle recreation that recognizes cultural, historic, and resource values while ensuring public safety.",http://www.wildlife.state.nm.us/,Yes,Yes,No,No,3
n30,Wastewater Management,Environment Department,7,n18,"Responsible for monitoring and controlling the generation, storage, transportation, and disposal of wastes in New Mexico.",https://www.env.nm.gov/waste/,Yes,No,Yes,No,3
n31,Liquid Waste Program,Environment Department,7,n33,To protect the health and welfare of present and future citizens of New Mexico by providing for the prevention and abatement of public health hazards and surface and ground water contamination from on-site liquid waste disposal practices.,https://www.env.nm.gov/liquid_waste/,No,No,Yes,No,5
n32,Health & Safety,Environment Department,7,n18,"Responsible for providing the highest quality of life throughout the state by promoting a safe, clean, and productive environment.",https://www.env.nm.gov/healthandsafety/,Yes,No,Yes,No,3
n33,Environmental Health Bureau,Environment Department,7,n32,"Assesses food, liquid waste, swimming pool, and hemp.",https://www.env.nm.gov/environmental_health/,Yes,No,Yes,No,4
n34,Department of Health,Environment Department,8,n01,"Promote health and wellness, improve health outcomes, and assure safety net services for all people in New Mexico.",https://nmhealth.org/,No,Yes,Yes,Yes,2
n35,Epidemiology & Response Division,Environment Department,8,n34,"Tracks infectious diseases, injury and health statistics, trains organizations in disease control, injury prevention, responds to public health emergencies and provides vital records services.",https://nmhealth.org/about/erd/,No,Yes,Yes,Yes,3
n36,Environmental Health Epidemiology Bureau,Environment Department,8,n35,Reduce the prevalence of environmentally-related adverse health outcomes,https://nmhealth.org/about/erd/eheb/,No,Yes,Yes,Yes,4
