platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
d01,Built,NA,NA,Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infrastructure,13
d02,Natural,NA,NA,Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infrastructure,6
d03,Quality,NA,NA,Quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quality,7
d04,Regulatory,NA,NA,Quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quality,9
d05,Evapotranspiration,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,1
d06,Extreme Events,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,5
d07,Glacial and Snow,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,3
d08,Groundwater,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,10
d09,Meteorology,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,4
d10,Precipitation,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,6
d11,Reservoir,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,7
d12,Soil,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,3
d13,Surface Water,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,8
d14,Hydropower,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,0
d15,Irrigation,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,4
d16,Use,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,13
d17,Utilities,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,6
d18,Management Plans,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,6
p01,"Oil, Gas, Minerals, PAs, and UAs",n03,"Oil, Gas and Minerals",State Land,"State Land: Oil, Gas, Minerals, PAs, and UAs",State Land Office,2,http://mapservice.nmstatelands.org/OilGasMinerals/,Low,Website,No,None,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
p02,State Forestry,n13,Forest and Watershed Health Program,EMNRD,EMNRD: State Forestry,Govenors Office,4,https://nm-emnrd.maps.arcgis.com/apps/webappviewer/index.html?id=3e82558620c24942b52e489baa6461af,Medium,Website,No,None,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Varies,hub,5
p03,Data and Statistics,n17,Environmental Bureau,EMNRD-OCD,EMNRD-OCD: Data and Statistics,Govenors Office,4,http://www.emnrd.state.nm.us/OCD/statistics.html,Medium,Website,Yes,Individual Export; Batch Export; Link to Source,Not Applicable,pdf; excel; xml,Some,html; excel,Yes,Administrative,No,Varies,Varies,hub,5
p04,Well Data,n16,Oil Conservation Division,EMNRD-OCD,EMNRD-OCD: Well Data,Govenors Office,4,ftp://164.64.106.6/Public/OCD/,Low,Website,Yes,ftp; Individual Export; Batch Export,Not Applicable,zip; shapefile; geodatabase; kmz,Yes,pdf; excel,Yes,Administrative; Descriptive; Structural,Yes,Varies,Varies,hub,5
p05,OCD Permitting Well Search,n16,Oil Conservation Division,EMNRD-OCD,EMNRD-OCD: OCD Permitting Well Search,Govenors Office,4,https://wwwapps.emnrd.state.nm.us/ocd/ocdpermitting/Data/Wells.aspx#,Low,Website; Catalog,Yes,Individual Export; Batch Export,Not Applicable,excel,Yes,html,Yes,Descriptive,No,Unknown,Period of Record,hub,5
p06,Drinking Water Watch,n20,Drinking Water Bureau,ENV-DWW,ENV-DWW: Drinking Water Watch,Govenors Office,4,https://dww.water.net.env.nm.gov/NMDWW/,Medium,Website; Catalog,Yes,Individual Export,Not Applicable,html,No,No,No,No,No,Unknown,Limited Record,hub,5
p07,List of Ag Discharge Permits,n21,Ground Water Quality Bureau,ENV-GWQB,ENV-GWQB: List of Ag Discharge Permits,Govenors Office,4,https://www.env.nm.gov/gwqb/acs/,Low,Website,Yes,Batch Export,Not Applicable,excel,No,No,No,No,No,Unknown,Period of Record,hub,5
p08,Remediation & Superfund Sites,n21,Ground Water Quality Bureau,ENV-GWQB,ENV-GWQB: Remediation & Superfund Sites,Govenors Office,4,https://www.env.nm.gov/gwqb/ros/,Low,Website,Yes,Batch Export; Copy and Paste,Not Applicable,pdf; excel; html,No,No,No,No,No,Unknown,Period of Record,hub,5
p09,Total Maximum Daily Loads,n24,Surface Water Quality Bureau,ENV-SWQB,ENV-SWQB: Total Maximum Daily Loads,Govenors Office,4,https://www.env.nm.gov/surface-water-quality/tmdl/,Low,Website,Yes,Batch Export,Not Applicable,pdf; excel,No,pdf,No,Administrative,No,Yearly or Higher,Limited Record,hub,5
p10,Interactive GIS Mapper,n18,Environment Department,ENV,ENV: Interactive GIS Mapper,Govenors Office,4,https://gis.web.env.nm.gov/oem/?map=swqb,Low,Catalog; Map,Yes,Link to Source; Web Services,Not Applicable,json; geojson; unknown,Yes,html,No,Descriptive,Yes,Unknown,Varies,hub,5
