"entityID","entity","tier1and2entity","tier1and2entityID","entityIDAbove","mission","website","operational","decision","regulatory","research","level","notes"
"n01","Oregon","Oregon",1,"NA",NA,"https://www.oregon.gov/Pages/index.aspx","Yes","Yes","Yes","Yes",1,NA
"n02","Department of Water Resources","Department of Water Resources",2,"n01","serve the public by practicing and promoting responsible water management to (1) directly address Oregon's water supply needs and (2) restore and protect streamflows and watersheds in order to ensure the long-term sustainability of Oregon's ecosystems, economy, and quality of life.","https://www.oregon.gov/owrd/Pages/index.aspx","Yes","Yes","Yes","Yes",2,NA
"n03","Water Rights Program","Department of Water Resources",2,"n02","processing water right permits to meet a variety of needs, including agriculture, drinking water, fish, wildlife, recreation and industry.","https://www.oregon.gov/owrd/programs/WaterRights/Pages/default.aspx","Yes","No","Yes","No",3,NA
"n04","Streams, Lakes and Dams Program","Department of Water Resources",2,"n02","monitoring surface water and ensuring dam safety","https://www.oregon.gov/owrd/programs/streamslakessanddams/Pages/default.aspx","No","Yes","Yes","No",3,NA
"n05","Groundwater and Wells Program","Department of Water Resources",2,"n02","collects and analyzes information that is used to manage groundwater resources of the state; protects groundwater resources through appropriate construction, education, and enforcement procedures","https://www.oregon.gov/owrd/programs/GWWL/Pages/default.aspx","No","Yes","Yes","Yes",3,NA
"n06","Climate Program","Department of Water Resources",2,"n02","continously monitor climate change effects on Oregon's water resources and help water users adapt to climate change","https://www.oregon.gov/owrd/programs/climate/Pages/default.aspx","No","Yes","No","No",3,NA
"n07","Planning Program","Department of Water Resources",2,"n02","conducts state, place-based, conservation planning and develops recommended actions aimed at meeting instream and out-of-stream water needs.","https://www.oregon.gov/owrd/programs/Planning/Pages/default.aspx","No","Yes","Yes","No",3,NA
"n08","Policy, Law, and Rules Program","Department of Water Resources",2,"n02","serve as a strong foundation for economic development, environmental restoration, and protection of public safety and human health in Oregon","https://www.oregon.gov/owrd/programs/policylawandrules/Pages/default.aspx","No","No","Yes","No",3,NA
"n09","Administrative Basins","Department of Water Resources",2,"n02","devising integrated and coordinated plans and programs to promote and secure the maximum beneficial use of the water resources of this state, which includes instream and out-of-stream uses for current and future Oregonians","https://www.oregon.gov/owrd/programs/administrativebasins/Pages/default.aspx","No","Yes","No","No",3,NA
"n10","Department of Agriculture","Department of Agriculture",3,"n01","Ensuring all people and communities can achieve optimum physical, mental, and social well-being through partnerships, prevention, and access to quality, affordable health care.","https://www.oregon.gov/ODA/AboutUs/Pages/Mission.aspx","Yes","Yes","Yes","Yes",2,NA
"n11","Natural Resources Programs","Department of Agriculture",3,"n10","conserve, protect, and develop natural resources on public and private lands in order to ensure that agriculture will continue to be productive and economically viable in Oregon. ","https://www.oregon.gov/ODA/programs/NaturalResources/Pages/Default.aspx","Yes","Yes","Yes","No",3,NA
"n12","Department of Environmental Quality","Department of Environmental Quality",4,"n01","be a leader in restoring, maintaining and enhancing the quality of Oregon's air, land and water.","https://www.oregon.gov/deq/Pages/index.aspx","Yes","Yes","Yes","Yes",2,NA
"n13","Water Quality Program","Department of Environmental Quality",4,"n12","protect and improve Oregon's water quality.","https://www.oregon.gov/deq/wq/Pages/default.aspx","Yes","No","Yes","Yes",3,NA
"n14","Department of Fish and Wildlife","Department of Fish and Wildlife",5,"n01","protect and enhance Oregon's fish and wildlife and their habitats for use and enjoyment by present and future generations.","https://www.dfw.state.or.us/","Yes","Yes","Yes","No",2,NA
"n15","Fish Division","Department of Fish and Wildlife",5,"n14","protect and propogate fish in the state","https://www.dfw.state.or.us/fish/","Yes","Yes","Yes","No",3,NA
"n16","Conservation Division","Department of Fish and Wildlife",5,"n14","combines best available science and conservation priorities with recommended voluntary actions and tools for all Oregonians to define their own conservation role","https://www.dfw.state.or.us/conservationstrategy/index.asp","No","Yes","No","No",3,NA
"n17","Public Utility Commission","Public Utility Commission",6,"n01","To ensure Oregon utility customers have access to safe, reliable, and high quality utility services at just and reasonable rates.","https://www.oregon.gov/puc/Pages/default.aspx","Yes","No","Yes","No",2,NA
"n18","Health Authority","Health Authority",7,"n01","Ensuring all people and communities can achieve optimum physical, mental, and social well-being through partnerships, prevention, and access to quality, affordable health care.","https://www.oregon.gov/OHA/Pages/index.aspx","No","Yes","Yes","Yes",2,NA
"n19","Public Health Division","Health Authority",7,"n18","protect and promote the health of all Oregonians and the communities where they live, work, play and learn. ","https://www.oregon.gov/oha/ph/pages/index.aspx","No","Yes","Yes","Yes",3,NA
"n20","Environmental Public Health","Health Authority",7,"n19","works to identify, assess and report on threats to human health from exposure to environmental and occupational hazards, and advise Oregon communities on potential risks where they live, work, play and learn","https://www.oregon.gov/oha/PH/HEALTHYENVIRONMENTS/Pages/index.aspx","No","Yes","Yes","Yes",4,NA
"n21","Department of State Lands","Department of State Lands",8,"n01","ensures a legacy for Oregonians and their public schools through sound stewardship of lands, wetlands, waterways, unclaimed property, estates and the Common School Fund","https://www.oregon.gov/dsl/Pages/index.aspx","Yes","No","Yes","No",2,NA
