"platformID","platform","entity","entityID","webLabel","heatmapLabel","tier1and2entity","tier1and2entityID","website","easeDiscover","methodDiscover","easeAccess","methodAccess","LinktoSource","fileFormat","metadata","metadataFormat","dataDefinitions","metaAttributes","metadataStandards","timeliness","lengthAvailable","group","count"
"d01","Built",NA,NA,"Infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infrastructure",17
"d02","Natural",NA,NA,"Infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infrastructure",9
"d03","Quality",NA,NA,"Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quality",20
"d04","Regulatory",NA,NA,"Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quality",13
"d05","Evapotranspiration",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",1
"d06","Extreme Events",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",7
"d07","Glacial and Snow",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",2
"d08","Groundwater",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",6
"d09","Meteorology",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",3
"d10","Precipitation",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",3
"d11","Reservoir",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",6
"d12","Soil",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",1
"d13","Surface Water",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",8
"d14","Hydropower",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",2
"d15","Irrigation",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",0
"d16","Use",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",13
"d17","Utilities",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",8
"d18","Management Plans",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",7
"p01","Open Data Portal","Oregon","n27","Oregon","Oregon: Open Data Portal","Oregon",1,"https://data.oregon.gov/browse","Medium","Catalog","Yes","Full Export; Web Services","Not Applicable","csv; rdf; rss; tsv; xml","yes","html","Some","Descriptive; Administrative","Yes","Varies","Varies","hub",5
