"platformID","platform","entityID","entity","webLabel","heatmapLabel","tier1and2entity","tier1and2entityID","website","easeDiscover","methodDiscover","easeAccess","methodAccess","LinktoSource","fileFormat","metadata","metadataFormat","dataDefinitions","metaAttributes","metadataStandards","timeliness","lengthAvailable","group","count","inventory","scoreEaseDiscover","scoreMethodDiscover","scoreEaseAccess","scoreMethodAccess","scoreFileFormat","scoreMetadataFormat","scoreDataDefinitions","scoreMetaAttributes","scoreMetadataStandards","scoreTimeliness","scoreLengthAvailable","discoverTotal","accessTotal","usableTotal","scoreTotal"
"p31","Water Rates Survey","n25","Water and Public Infrastructure Financing","ACA","ACA: Water Rates Survey","Commerce Authority","4","https://azwifa.gov/","low","website","yes","link to source","Direct","unknown","no","no","no","no","no","varies","period of record","hub",5,"az",33.33,50,100,40,0,0,0,0,0,25,100,40,62.5,21.74,33.33
"p33","Water Loss Control","n25","Water and Public Infrastructure Financing","ACA","ACA: Water Loss Control","Commerce Authority","4","https://azwifa.gov/resources/water-loss-control","low","website","yes","individual export","Not Applicable","pdf","yes","in data","yes","administrative","no","varies","current only","hub",5,"az",33.33,50,100,40,20,33.33,100,33.33,0,25,50,40,62.5,34.78,41.67
"p01","GIS Database","n02","Department of Water Resources","ADWR","ADWR: GIS Database","Department of Water Resources","2","https://gisdata2016-11-18t150447874z-azwater.opendata.arcgis.com/","medium","catalog","yes","full export; web services","Not Applicable","excel; kml; shapefile; geojson","yes","html","yes","administrative; descriptive; structural","yes","varies","varies","hub",5,"az",66.67,100,100,80,100,100,100,100,100,25,25,80,87.5,73.91,77.78
"p02","Management Plans","n03","Active Management Areas","ADWR","ADWR: Management Plans","Department of Water Resources","2","https://new.azwater.gov/ama","low","website","yes","individual export","Not Applicable","pdf","yes","in data","yes","descriptive","no","yearly or higher","period of record","hub",5,"az",33.33,50,100,40,20,33.33,100,33.33,0,50,100,40,62.5,47.83,50
"p03","AMA Data","n03","Active Management Areas","ADWR","ADWR: AMA Data","Department of Water Resources","2","http://www.azwater.gov/querycenter/query.aspx?qrysessionid=8CF17C8B1CB88E14E0534C64850A39FA","high","catalog","yes","batch export; full export","Not Applicable","csv; excel; word","no","no","no","no","no","daily or higher","period of record","hub",5,"az",100,100,100,60,100,0,0,0,0,100,100,100,75,56.52,66.67
"p04","AMA Queries and Reports","n03","Active Management Areas","ADWR","ADWR: AMA Queries and Reports","Department of Water Resources","2","http://infoshare.azwater.gov/docushare/dsweb/View/Collection-72","medium","catalog; website","yes","full export; individual export; link to source","Direct","pdf; excel; csv","yes","html","some","descriptive","no","daily or higher","period of record","hub",5,"az",66.67,75,100,40,100,100,50,33.33,0,100,100,70,62.5,78.26,73.61
"p05","Grandfathered Groundwater Rights Web Map","n03","Active Management Areas","ADWR","ADWR: Grandfathered Groundwater Rights Web Map","Department of Water Resources","2","https://gisweb3.azwater.gov/igfr","high","map","yes","copy and paste","Direct","html","no","no","no","no","no","varies","period of record","hub",5,"az",100,100,100,20,100,0,0,0,0,25,100,100,50,43.48,52.78
"p06","Annual Supply and Demand Dashboard","n03","Active Management Areas","ADWR","ADWR: Annual Supply and Demand Dashboard","Department of Water Resources","2","https://new.azwater.gov/ama/ama-data","medium","website","yes","individual export; link to source","Direct","excel; csv","no","no","yes","no","no","monthly or higher","period of record","hub",5,"az",66.67,50,100,30,100,0,100,0,0,75,100,60,56.25,60.87,59.72
"p07","Conservation Grants","n04","Water Management Assistance Program","ADWR","ADWR: Conservation Grants","Department of Water Resources","2","https://new.azwater.gov/ama/wmap","medium","website","yes","individual export","Not Applicable","pdf","yes","in data","no","descriptive","no","unknown","limited record","hub",5,"az",66.67,50,100,40,20,33.33,0,33.33,0,0,75,60,62.5,26.09,38.89
"p08","Adjudications","n05","Stream Adjudication","ADWR","ADWR: Adjudications","Department of Water Resources","2","https://new.azwater.gov/adjudications","high","website","yes","full export","Not Applicable","pdf","yes","pdf","yes","no","no","monthly or higher","varies","hub",5,"az",100,50,100,60,20,33.33,100,0,0,75,25,80,75,34.78,50
"p09","AAWS Interactive Map","n06","Assured and Adequate Water Supply","ADWR","ADWR: AAWS Interactive Map","Department of Water Resources","2","https://gisweb3.azwater.gov/aaws","medium","map","yes","full export; individual export","Not Applicable","excel","no","no","no","no","no","varies","period of record","hub",5,"az",66.67,100,100,50,60,0,0,0,0,25,100,80,68.75,34.78,48.61
"p10","Groundwater Site Inventory","n06","Assured and Adequate Water Supply","ADWR","ADWR: Groundwater Site Inventory","Department of Water Resources","2","https://gisweb3.azwater.gov/gwsi","medium","map","yes","individual export; full export; batch export; link to source","Direct","excel","yes","html","no","descriptive; structural","no","daily or higher","period of record","hub",5,"az",66.67,100,100,45,60,100,0,66.67,0,100,100,80,65.62,69.57,70.14
"p11","ADWR Data Downloads","n02","Department of Water Resources","ADWR","ADWR: ADWR Data Downloads","Department of Water Resources","2","https://new.azwater.gov/gis","medium","website","yes","full export","Not Applicable","zip; shapefile; excel; csv; pdf","yes","html","no","descriptive; administrative","no","yearly or higher","period of record","hub",5,"az",66.67,50,100,60,100,100,0,66.67,0,50,100,60,75,69.57,69.44
"p12","Colorado River Current Conditions Dashboard","n07","Colorado River Management","ADWR","ADWR: Colorado River Current Conditions Dashboard","Department of Water Resources","2","https://new.azwater.gov/crm/dashboard","medium","website","no","none","Not Applicable","jpg","yes","in data","no","descriptive","no","weekly or higher","current only","hub",5,"az",66.67,50,0,0,20,33.33,0,33.33,0,75,50,60,0,34.78,30.56
"p13","Operations and Planning","n07","Colorado River Management","ADWR","ADWR: Operations and Planning","Department of Water Resources","2","https://new.azwater.gov/crm/operations-planning","low","website","yes","link to source","Direct","pdf","yes","in data","no","administrative","no","yearly or higher","period of record","hub",5,"az",33.33,50,100,40,20,33.33,0,33.33,0,50,100,40,62.5,39.13,44.44
"p14","Community Water Systems - Resources","n08","Community Water Systems","ADWR","ADWR: Community Water Systems - Resources","Department of Water Resources","2","https://new.azwater.gov/cws/cws-resources#InteractiveMap","medium","website","yes","link to source; full export","Direct","pdf; excel","yes","in data","no","administrative","no","yearly or higher","period of record","hub",5,"az",66.67,50,100,40,60,33.33,0,33.33,0,50,100,60,62.5,47.83,52.78
