"from","to"
"n01","n02"
"n01","n03"
"n01","n09"
"n01","n102"
"n01","n104"
"n01","n106"
"n01","n108"
"n01","n109"
"n01","n115"
"n01","n117"
"n01","n120"
"n01","n122"
"n01","n123"
"n01","n20"
"n01","n24"
"n01","n40"
"n01","n45"
"n01","n51"
"n01","n59"
"n01","n64"
"n01","n68"
"n01","n80"
"n01","n81"
"n01","n84"
"n01","n89"
"n01","n91"
"n01","n96"
"n03","n04"
"n04","n05"
"n05","n06"
"n05","n07"
"n05","n08"
"n09","n10"
"n10","n11"
"n10","n12"
"n10","n13"
"n10","n19"
"n102","n103"
"n104","n105"
"n107","n107"
"n109","n110"
"n110","n111"
"n111","n112"
"n111","n113"
"n111","n114"
"n115","n116"
"n117","n118"
"n117","n119"
"n120","n121"
"n13","n14"
"n13","n15"
"n13","n16"
"n13","n17"
"n13","n18"
"n20","n21"
"n20","n22"
"n20","n23"
"n24","n25"
"n24","n29"
"n24","n38"
"n25","n26"
"n26","n27"
"n26","n28"
"n29","n30"
"n29","n33"
"n29","n36"
"n30","n31"
"n30","n32"
"n33","n34"
"n33","n35"
"n36","n37"
"n38","n39"
"n40","n41"
"n40","n42"
"n40","n43"
"n40","n44"
"n45","n46"
"n45","n48"
"n45","n50"
"n46","n47"
"n48","n49"
"n51","n52"
"n51","n53"
"n51","n56"
"n51","n58"
"n53","n54"
"n53","n55"
"n56","n57"
"n59","n60"
"n59","n61"
"n59","n62"
"n60","n63"
"n64","n65"
"n64","n66"
"n64","n67"
"n68","n69"
"n68","n79"
"n69","n70"
"n69","n74"
"n70","n71"
"n70","n72"
"n70","n73"
"n74","n75"
"n74","n76"
"n74","n77"
"n74","n78"
"n81","n82"
"n81","n83"
"n84","n85"
"n84","n86"
"n86","n87"
"n86","n88"
"n89","n90"
"n91","n92"
"n91","n93"
"n91","n94"
"n94","n95"
"n96","n100"
"n96","n101"
"n96","n97"
"n96","n98"
"n96","n99"
