platformID,platform,entityID,entity,webLabel,heatmapLabel,tier1and2entity,tier1and2entityID,website,easeDiscover,methodDiscover,easeAccess,methodAccess,LinktoSource,fileFormat,metadata,metadataFormat,dataDefinitions,metaAttributes,metadataStandards,timeliness,lengthAvailable,group,count
d01,Built,NA,NA,Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infrastructure,20
d02,Natural,NA,NA,Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Infrastructure,7
d03,Quality,NA,NA,Quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quality,28
d04,Regulatory,NA,NA,Quality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quality,10
d05,Evapotranspiration,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,4
d06,Extreme Events,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,10
d07,Glacial and Snow,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,0
d08,Groundwater,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,6
d09,Meteorology,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,8
d10,Precipitation,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,18
d11,Reservoir,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,19
d12,Soil,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,4
d13,Surface Water,NA,NA,Quantity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quantity,22
d14,Hydropower,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,0
d15,Irrigation,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,0
d16,Use,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,11
d17,Utilities,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,14
d18,Management Plans,NA,NA,Use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Use,15
p01,The Water Source,n02,Department of Agriculture,Ag-Production Ag,Ag-Production Ag: The Water Source,Department of Agriculture,2,http://www.texasagriculture.gov/Home/ProductionAgriculture/TheWaterSource.aspx,Low,Website,Yes,Link to Source,Direct,html; csv,No,No,No,No,No,Irregular,Period of Record,hub,5
p02,Studies of Priority Groundwater Management Areas,n06,Water Quantity,TPWD-Water Quantity,TPWD-Water Quantity: Studies of Priority Groundwater Management Areas,Department of Parks and Wildlife,3,https://tpwd.texas.gov/landwater/water/conservation/water_resources/water_quantity/pgma/,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Irregular,Not Applicable,hub,5
p03,Ecologically Significant Streams,n06,Water Quantity,TPWD-Water Quantity,TPWD-Water Quantity: Ecologically Significant Streams,Department of Parks and Wildlife,3,https://tpwd.texas.gov/landwater/water/conservation/water_resources/water_quantity/sigsegs/,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,Yes,No,No,Irregular,Not Applicable,hub,5
p04,Water Quality Related Reports,n07,Water Quality,TPWD-Water Quality,TPWD-Water Quality: Water Quality Related Reports,Department of Parks and Wildlife,3,https://tpwd.texas.gov/landwater/water/environconcerns/water_quality/wq_research/WQ_Reports.phtml,Low,Website,Yes,Individual Export,Not Applicable,pdf,Yes,pdf,Yes,Administrative,No,Irregular,Not Applicable,hub,5
p05,Reports on River Studies,n08,River Studies,TPWD-River Studies,TPWD-River Studies: Reports on River Studies,Department of Parks and Wildlife,3,https://tpwd.texas.gov/landwater/water/conservation/fwresources/reports.phtml,Low,Website,Yes,Individual Export,Not Applicable,pdf,Yes,pdf,Yes,Administrative; Descriptive,No,Unknown,Not Applicable,hub,5
p06,Drinking Water,n19,Water Supply,TCEQ-Water Supply,TCEQ-Water Supply: Drinking Water,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/drinkingwater,Low,Website,Yes,Individual Export,Not Applicable,pdf,Yes,pdf,Yes,Administrative; Descriptive,No,Yearly or Higher,Not Applicable,hub,5
p07,Drinking Water Watch,n13,Water Quality Planning,TCEQ-Water Quality Planning,TCEQ-Water Quality Planning: Drinking Water Watch,Texas Commission on Environmental Quality,4,http://dww2.tceq.texas.gov/DWW/,Low,Website,Yes,Copy and Paste,Not Applicable,html,No,No,No,No,No,Irregular,Limited Record,hub,5
p08,Water Rights and Water Use Data,n11,Water Availability,TCEQ-Water Availability,TCEQ-Water Availability: Water Rights and Water Use Data,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/permitting/water_rights/wr-permitting/wrwud,Low,Website,Yes,Individual Export,Not Applicable,excel; zip,Yes,pdf,Yes,Administrative; Descriptive,No,Yearly or Higher,Period of Record,hub,5
p09,Water Availability Models,n11,Water Availability,TCEQ-Water Availability,TCEQ-Water Availability: Water Availability Models,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/permitting/water_rights/wr_technical-resources/wam.html,Low,Website,Software Required,Individual Export,Not Applicable,shapefile; software specific,Yes,pdf,Yes,Administrative,No,Unknown,Not Applicable,hub,5
p10,Texas Integrated Report of Surface Water Quality,n14,Water Quality Standards Program,TCEQ-Water Quality Standards,TCEQ-Water Quality Standards: Texas Integrated Report of Surface Water Quality,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/waterquality/assessment/305_303.html,Low,Website,Yes,Individual Export,Not Applicable,pdf,Yes,pdf,Yes,Administrative,No,Irregular,Period of Record,hub,5
p11,Segments with TMDLS,n15,Total Daily Maximum Load Program,TCEQ-TMDL,TCEQ-TMDL: Segments with TMDLS,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/waterquality/tmdl/nav/tmdlsegments,Low,Website,Yes,Copy and Paste,Not Applicable,html,No,No,No,No,No,Unknown,Not Applicable,hub,5
p12,Watershed Protection Plans for Nonpoint Source Water Pollution,n16,Nonpoint Source Pollution Program,TCEQ-Nonpoint Source Pollution,TCEQ-Nonpoint Source Pollution: Watershed Protection Plans for Nonpoint Source Water Pollution,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/waterquality/nonpoint-source/mgmt-plan/watershed-pp.html#map,Low,Website,Yes,Link to Source,Direct,pdf,No,No,No,No,No,Monthly or Higher,Not Applicable,hub,5
p13,Continuous Water Quality Monitoring Network,n17,Surface Water Quality Monitoring Program,TCEQ-Surface Water Quality Monitoring Program,TCEQ-Surface Water Quality Monitoring Program: Continuous Water Quality Monitoring Network,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/waterquality/monitoring/swqm_realtime.html,Low,Website,Yes,Copy and Paste,Not Applicable,html,Yes,in data,No,Administrative,No,Unknown,Limited Record,hub,5
p14,Groundwater Contamination Viewer,n11,Water Availability,TCEQ-Water Availability,TCEQ-Water Availability: Groundwater Contamination Viewer,Texas Commission on Environmental Quality,4,http://tceq.maps.arcgis.com/apps/webappviewer/index.html?id=478b575733ca4662a1441f93c9b973f5,High,Map,Yes,Batch Export,Not Applicable,csv; json; shapefile,Yes,No,Yes,No,No,Irregular,Current Only,hub,5
p15,Pesticides and Groundwater,n11,Water Availability,TCEQ-Water Availability,TCEQ-Water Availability: Pesticides and Groundwater,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/groundwater/pesticides.html,Low,Website,No,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
p16,List of Texas PWSs Limiting Water Use to Avoid Shortages,n19,Water Supply,TCEQ-Water Supply,TCEQ-Water Supply: List of Texas PWSs Limiting Water Use to Avoid Shortages,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/drinkingwater/trot/droughtw.html,Low,Website,Yes,Copy and Paste,Not Applicable,html,No,No,Yes,No,No,Weekly or Higher,Current Only,hub,5
p17,Geographic Information Systems,n10,Water,TCEQ-Water,TCEQ-Water: Geographic Information Systems,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/gis/download-tceq-gis-data#waterdatasets,Low,Website,Yes,Individual Export,Not Applicable,geodatabase; kml; shapefile,Yes,pdf,Yes,Administrative; Descriptive; Structural,Yes,Unknown,Current Only,hub,5
p18,Compliance History Database,n19,Water Supply,TCEQ-Water Supply,TCEQ-Water Supply: Compliance History Database,Texas Commission on Environmental Quality,4,http://www2.tceq.texas.gov/oce/ch/index.cfm,High,Catalog,Yes,Individual Export; Batch Export,Not Applicable,ASCII,No,No,Yes,No,No,Irregular,Limited Record,hub,5
p19,Surface Water Quality Monitoring Information System,n17,Surface Water Quality Monitoring Program,TCEQ-Surface Water Quality Monitoring Program,TCEQ-Surface Water Quality Monitoring Program: Surface Water Quality Monitoring Information System,Texas Commission on Environmental Quality,4,https://www80.tceq.texas.gov/SwqmisWeb/,Low,Website,Permission Required,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
p20,State of Texas Environmental Electronic Reporting System,n09,Environmental Electronic Reporting System,TCEQ-STEERS,TCEQ-STEERS: State of Texas Environmental Electronic Reporting System,Texas Commission on Environmental Quality,4,https://www3.tceq.texas.gov/steers/,Low,Website,Permission Required,Unknown,Not Applicable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hub,5
p21,Status of Stormwater and Wastewater Applications and Specifications,n12,Water Quality,TCEQ-Water Quality,TCEQ-Water Quality: Status of Stormwater and Wastewater Applications and Specifications,Texas Commission on Environmental Quality,4,https://www.tceq.texas.gov/agency/data/lookup-data/status-stormwater-wastewater.html,Low,Website,Yes,Copy and paste,Not Applicable,html,No,No,No,No,No,Unknown,Unknown,hub,5
p22,CRP Data Tool,n18,Clean Rivers Program,TCEQ-Clean Rivers Program,TCEQ-Clean Rivers Program: CRP Data Tool,Texas Commission on Environmental Quality,4,https://www80.tceq.texas.gov/SwqmisWeb/public/crpweb.faces,Medium,Map; Catalog,Yes,Batch Export,Not Applicable,txt,Yes,in data,Yes,Administrative,No,Irregular,Period of Record,hub,5
p23,Water District Database,n19,Water Supply,TCEQ-Water Supply,TCEQ-Water Supply: Water District Database,Texas Commission on Environmental Quality,4,http://www14.tceq.texas.gov/iwud/,Medium,Map; Catalog,Yes,Copy and Paste,Not Applicable,html,No,No,No,No,No,Unknown,Period of Record,hub,5
p24,Water Data for Texas,n24,Texas Water Development Board,TWDB-Water Data for Texas,TWDB-Water Data for Texas: Water Data for Texas,Texas Water Development Board,6,https://waterdatafortexas.org/reservoirs/statewide,High,Map,Yes,Individual Export; Batch Export; Web Services,Not Applicable,csv; geojson; html; kmz; json; shapefile; txt,Yes,in data,Yes,Administrative; Descriptive,No,Daily or Higher,Period of Record,hub,5
p25,Groundwater Database,n37,Groundwater Monitoring,TWDB-Groundwater Monitoring,TWDB-Groundwater Monitoring: Groundwater Database,Texas Water Development Board,6,http://www.twdb.texas.gov/groundwater/data/gwdbrpt.asp,Low,Website,Yes,Individual Export; Batch Export; Web Services,Not Applicable,csv; pdf; raster; word; xml,Yes,html,Yes,Administrative; Descriptive,No,Daily or Higher,Period of Record,hub,5
p26,GIS Data,n24,Texas Water Development Board,TWDB-Mapping,TWDB-Mapping: GIS Data,Texas Water Development Board,6,http://www.twdb.texas.gov/mapping/gisdata.asp,Low,Website,Yes,Individual Export,Not Applicable,shapefile,No,No,No,No,No,Unknown,Current Only,hub,5
p27,TexMesonet,n34,TexMesonet and Hydrosurvey,TWDB-TexMesonet,TWDB-TexMesonet: TexMesonet,Texas Water Development Board,6,https://www.texmesonet.org/,Medium,Map,Yes,Web Services,Not Applicable,csv; json,Yes,html,Yes,Administrative; Descriptive,No,Daily or Higher,Limited Record,hub,5
p28,Groundwater Data Viewer,n37,Groundwater Monitoring,TWDB-Groundwater Monitoring,TWDB-Groundwater Monitoring: Groundwater Data Viewer,Texas Water Development Board,6,https://www2.twdb.texas.gov/apps/waterdatainteractive/groundwaterdataviewer,High,Map,Yes,Link to Source,Direct,pdf,No,No,No,No,No,Unknown,Period of Record,hub,5
p29,Texas State Water Plan,n26,"Water Use, Projections and Planning",TWDB-Water Use Planning,TWDB-Water Use Planning: Texas State Water Plan,Texas Water Development Board,6,http://www.twdb.texas.gov/waterplanning/swp/2017/index.asp,Low,Website,Yes,Individual Export,Not Applicable,csv,Yes,pdf,Yes,Administrative,No,Yearly or Higher,Period of Record,hub,5
p30,Geospatial Emergency Management Support System,n38,Texas Natural Resources Information System,TWDB-Texas Natural Resources Information System,TWDB-Texas Natural Resources Information System: Geospatial Emergency Management Support System,Texas Water Development Board,6,https://gemss2.tnris.org/,Medium,Map,Yes,Web Services,Not Applicable,geojson; raster; shapefile,No,No,No,No,No,Irregular,Varies,hub,5
p31,Regional Water Planning Data,n27,Regional Water Planning,TWDB-Regional Water Planning,TWDB-Regional Water Planning: Regional Water Planning Data,Texas Water Development Board,6,http://www.twdb.texas.gov/waterplanning/data/rwp-database/index.asp,Low,Website,Yes,Copy and Paste; Individual Export; Web Services,Not Applicable,csv; html; json,No,No,No,No,No,Irregular,Period of Record,hub,5
p32,Historical Water Use Estimates,n26,"Water Use, Projections and Planning",TWDB-Water Use,TWDB-Water Use: Historical Water Use Estimates,Texas Water Development Board,6,http://www.twdb.texas.gov/waterplanning/waterusesurvey/estimates/index.asp,Low,Website,Yes,Individual Export,Not Applicable,csv; excel; pdf; raster; word; xml,No,No,No,No,No,Yearly or Higher,Period of Record,hub,5
p33,Submitted Drillers Reports Database,n37,Groundwater Monitoring,TWDB-Groundwater Monitoring,TWDB-Groundwater Monitoring: Submitted Drillers Reports Database,Texas Water Development Board,6,http://www.twdb.texas.gov/groundwater/data/drillersdb.asp,Low,Website,Yes,Individual Export; Batch Export,Not Applicable,csv; pdf; raster; shapefile; word; xml,Yes,excel; pdf; txt,No,Descriptive; Structural,No,Daily or Higher,Period of Record,hub,5
p34,Texas Water Conditions Report,n33,Surface Water,TWDB-Surface Water,TWDB-Surface Water: Texas Water Conditions Report,Texas Water Development Board,6,http://www.twdb.texas.gov/surfacewater/conditions/report/index.asp,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Monthly or Higher,Period of Record,hub,5
p35,Precipitation and Lake Evaporation,n35,Water Data for Texas,TWDB-Surface Water,TWDB-Surface Water: Precipitation and Lake Evaporation,Texas Water Development Board,6,https://waterdatafortexas.org/lake-evaporation-rainfall,Low,Website,Yes,Individual Export,Not Applicable,txt,Yes,html,No,Descriptive,No,Yearly or Higher,Period of Record,hub,5
p36,Lake Surveys,n33,Surface Water,TWDB-Surface Water,TWDB-Surface Water: Lake Surveys,Texas Water Development Board,6,http://www.twdb.texas.gov/surfacewater/surveys/completed/index.asp,Low,Website,Yes,Individual Export,Not Applicable,shapefile; txt,No,No,No,No,No,Irregular,Limited Record,hub,5
p37,Historical Water Loss Audit and Conservation Annual Report Data,n31,Municipal Water Conservation,TWDB-Municipal Water Conservation,TWDB-Municipal Water Conservation: Historical Water Loss Audit and Conservation Annual Report Data,Texas Water Development Board,6,http://www.twdb.texas.gov/conservation/municipal/waterloss/historical-annual-report.asp,Low,Website,Yes,Copy and Paste; Individual Export,Not Applicable,csv; excel; html; pdf; raster; word; xml,No,No,No,No,No,Yearly or Higher,Limited Record,hub,5
p38,Brackish Resources Aquifer Characterization System,n32,Innovative Water Technologies,TWDB-Innovative Water Technologies,TWDB-Innovative Water Technologies: Brackish Resources Aquifer Characterization System,Texas Water Development Board,6,http://www.twdb.texas.gov/innovativewater/bracs/index.asp,Low,Website,Yes,Individual Export,Not Applicable,access; zip,Yes,pdf,Yes,Administrative,No,Unknown,Current Only,hub,5
p39,Desalination,n32,Innovative Water Technologies,TWDB-Innovative Water Technologies,TWDB-Innovative Water Technologies: Desalination,Texas Water Development Board,6,http://www.twdb.texas.gov/innovativewater/desal/index.asp,Low,Website,Yes,Individual Export,Not Applicable,pdf,No,No,No,No,No,Unknown,Current Only,hub,5
