"dataID","dataGroup","dataCategory"
"d01","Built","Infrastructure"
"d02","Natural","Infrastructure"
"d03","Quality","Quality"
"d04","Regulatory","Quality"
"d05","Evapotranspiration","Quantity"
"d06","Extreme Events","Quantity"
"d07","Glacial and Snow","Quantity"
"d08","Groundwater","Quantity"
"d09","Meteorology","Quantity"
"d10","Precipitation","Quantity"
"d11","Reservoir","Quantity"
"d12","Soil","Quantity"
"d13","Surface Water","Quantity"
"d14","Hydropower","Use"
"d15","Irrigation","Use"
"d16","Use","Use"
"d17","Utilities","Use"
"d18","Management Plans","Use"
