"from","to"
"n01","n02"
"n01","n04"
"n01","n07"
"n01","n11"
"n01","n13"
"n01","n38"
"n01","n42"
"n01","n43"
"n01","n44"
"n02","n03"
"n04","n05"
"n05","n06"
"n07","n08"
"n07","n09"
"n07","n10"
"n11","n12"
"n13","n14"
"n13","n23"
"n13","n33"
"n13","n36"
"n13","n37"
"n14","n15"
"n14","n16"
"n14","n17"
"n14","n18"
"n14","n19"
"n14","n20"
"n14","n21"
"n14","n22"
"n23","n24"
"n23","n25"
"n23","n26"
"n23","n27"
"n23","n28"
"n23","n29"
"n23","n30"
"n23","n31"
"n23","n32"
"n33","n34"
"n33","n35"
"n38","n39"
"n39","n40"
"n39","n41"
"n44","n45"
