"entityID","entity","tier1and2entity","tier1and2entityID","entityIDAbove","mission","website","operational","decision","regulatory","research","level"
"n01","Utah","Utah",1,"NA",NA,"https://www.utah.gov/index.html","Yes","Yes","Yes","Yes",1
"n02","Department of Agriculture and Food","Department of Agriculture and Food",2,"n01","Promote the healthy growth of Utah agriculture, conserve our natural resources and protect our food supply.","https://ag.utah.gov","No","Yes","No","No",2
"n03","Conservation Division","Department of Agriculture and Food",2,"n02","Preserve and protect Utah’s soil and water resources and ensure the development and utilization for the betterment of Utah agriculture and its people.","https://ag.utah.gov/farmers/conservation-division/","No","Yes","No","No",3
"n04","Department of Commerce","Department of Commerce",3,"n01","Provide oversight of business registrations, trademarks, Uniform Commercial Code filings, occupational and professional licensing, consumer protection, public utilities, securities, real estate and residential mortgage lending.","https://commerce.utah.gov/","Yes","No","Yes","No",2
"n05","Division of Public Utilities","Department of Commerce",3,"n04","Promotes the public interest in utility regulation and works to assure that all utility customers have access to safe, reliable service at reasonable prices","https://dpu.utah.gov/about.html","Yes","No","Yes","No",3
"n06","Water Section","Department of Commerce",3,"n05","Monitors and regulates numerous private water companies in Utah.","https://dpu.utah.gov/utillist-water.html","Yes","No","Yes","No",4
"n07","Department of Environmental Quality","Department of Environmental Quality",4,"n01","Safeguarding and improving Utah’s air, land and water through balanced regulation.","https://deq.utah.gov/","Yes","Yes","Yes","No",2
"n08","Division of Drinking Water","Department of Environmental Quality",4,"n07","Safeguarding the quality and quantity of Utah's drinking water through balanced regulation.","https://deq.utah.gov/division-drinking-water","Yes","No","Yes","No",3
"n09","Division of Water Quality","Department of Environmental Quality",4,"n07","Safeguarding and improving Utah's water through balanced regulation.","https://deq.utah.gov/division-water-quality","Yes","No","Yes","No",3
"n10","Division of Environmental Response and Remediation","Department of Environmental Quality",4,"n07","Safeguarding and improving Utah’s air, land and water through balanced regulation.","https://deq.utah.gov/division-environmental-response-remediation","No","Yes","Yes","No",3
"n11","Department of Health","Department of Health",5,"n01","Provides information needed to plan, implement, and evaluate interventions and programs related to the multiple goals and objectives of the Utah Department of Health. In addition, health and health care system information are made available to the public to help consumers make informed health care decisions","https://health.utah.gov/","No","Yes","No","Yes",2
"n12","Center for Health Data Informatics","Department of Health",5,"n11","Ensure Utah is a place where accurate, secure, and timely health data are available to improve health for all","http://health.utah.gov/chd/","No","Yes","No","Yes",3
"n13","Department of Natural Resources","Department of Natural Resources",6,"n01","Helps ensure the quality of life of Utah residents by managing and protecting the state's abundant natural resources","https://naturalresources.utah.gov/","Yes","Yes","Yes","Yes",2
