"platformID","platform","entity","entityID","webLabel","heatmapLabel","tier1and2entity","tier1and2entityID","website","easeDiscover","methodDiscover","easeAccess","methodAccess","LinktoSource","fileFormat","metadata","metadataFormat","dataDefinitions","metaAttributes","metadataStandards","timeliness","lengthAvailable","group","count"
"d01","Built",NA,NA,"Infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infrastructure",18
"d02","Natural",NA,NA,"Infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infrastructure",7
"d03","Quality",NA,NA,"Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quality",20
"d04","Regulatory",NA,NA,"Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quality",17
"d05","Evapotranspiration",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",4
"d06","Extreme Events",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",6
"d07","Glacial and Snow",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",3
"d08","Groundwater",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",16
"d09","Meteorology",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",7
"d10","Precipitation",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",6
"d11","Reservoir",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",7
"d12","Soil",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",1
"d13","Surface Water",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",6
"d14","Hydropower",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",0
"d15","Irrigation",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",6
"d16","Use",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",15
"d17","Utilities",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",7
"d18","Management Plans",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",10
"p01","Utah Open Data Catalog","Technology Coordination Office - Automated Geographic Reference Center","n43","AGRC","AGRC: Utah Open Data Catalog","Technology Coordination Office - Automated Geographic Reference Center",9,"https://opendata.gis.utah.gov/","High","Catalog","Yes","Web Services; Full Export","Not Applicable","excel; csv; geojson; shapefile; kml; geodatabase","Yes","html","No","Descriptive; Structural","Yes","Varies","Period of Record","hub",5
"p02","State Geographic Information Database","Technology Coordination Office - Automated Geographic Reference Center","n43","AGRC","AGRC: State Geographic Information Database","Technology Coordination Office - Automated Geographic Reference Center",9,"https://gis.utah.gov/#data","Medium","Catalog","Yes","Web Services; Full Export","Not Applicable","excel; csv; geojson; shapefile; kml; geodatabase","Yes","html","No","Descriptive","Yes","Varies","Current Only","hub",5
"p03","Annual Report Archive","Department of Agriculture and Food","n02","UDAF","UDAF: Annual Report Archive","Department of Agriculture and Food",2,"https://ag.utah.gov/about/annual-report-archive/","Low","Website","Yes","Copy and Paste","Not Applicable","pdf","No","No","No","No","No","Varies","Limited Record","hub",5
"p04","Salinity Control Forum","Conservation Division","n03","UDAF-Conservation Division","UDAF-Conservation Division: Salinity Control Forum","Department of Agriculture and Food",2,"https://ag.utah.gov/farmers/conservation-division/","Low","Website","Yes","Link to Source","Direct","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","hub",5
"p05","Groundwater Program","Conservation Division","n03","UDAF-Conservation Division","UDAF-Conservation Division: Groundwater Program","Department of Agriculture and Food",2,"https://ag.utah.gov/farmers/conservation-division/","Low","Website","Yes","Individual Export","Not Applicable","pdf","Yes","in data","Yes","Administrative; Descriptive","No","Yearly or Higher","Limited Record","hub",5
"p06","Harmful Algal Blooms","Conservation Division","n03","UDAF-Conservation Division","UDAF-Conservation Division: Harmful Algal Blooms","Department of Agriculture and Food",2,"https://ag.utah.gov/farmers/conservation-division/harmful-algal-blooms/","Medium","Map","Yes","Copy and Paste","Not Applicable","html","Yes","html","No","Descriptive","No","Monthly or higher","Limited Record","hub",5
"p07","Locate Utility Company","Division of Public Utilities","n05","UDOC-Public Utilities Division","UDOC-Public Utilities Division: Locate Utility Company","Department of Commerce",3,"http://utah.maps.arcgis.com/apps/Viewer/index.html?appid=573dfdb6220d4fada6d833def633b866","Medium","Map","No","None","Not Applicable","None","No","No","No","No","No","Unknown","Current Only","hub",5
"p08","Water Utilities","Division of Public Utilities","n05","UDOC-Public Utilities Division","UDOC-Public Utilities Division: Water Utilities","Department of Commerce",3,"https://dpu.utah.gov/utillist-water.html","High","Website","Yes","Copy and Paste; Individual Export","Not Applicable","html; pdf","Yes","pdf","No","Administrative; Descriptive","No","Varies","Limited Record","hub",5
"p09","Environmental Interactive Map","Department of Environmental Quality","n07","UDEQ","UDEQ: Environmental Interactive Map","Department of Environmental Quality",4,"https://enviro.deq.utah.gov/","High","Map; Catalog","Yes; Registration Required","Batch Export; Full Export","Not Applicable","excel; csv; geodatabase; shapefile","No","No","No","No","No","Daily or Higher","Limited Record","hub",5
"p10","Regulatory/Policy Documents","Department of Environmental Quality","n07","UDEQ","UDEQ: Regulatory/Policy Documents","Department of Environmental Quality",4,"http://eqedocs.utah.gov/","High","Map; Catalog","Yes","Individual Export","Not Applicable","pdf","Yes","html","No","Descriptive","No","Daily or Higher","Limited Record","hub",5
"p11","Waterlink Database","Division of Drinking Water","n08","UDEQ-Drinking Water","UDEQ-Drinking Water: Waterlink Database","Department of Environmental Quality",4,"https://waterlink.utah.gov/deqWater/","High","Catalog","Yes","Individual Export","Not Applicable","html; pdf","No","No","No","No","No","Monthly or higher","Limited Record","hub",5
"p12","Ambient Water Quality Monitoring System (AWQMS )","Division of Water Quality","n09","UDEQ-Water Quality","UDEQ-Water Quality: Ambient Water Quality Monitoring System (AWQMS )","Department of Environmental Quality",4,"https://awqms3.goldsystems.com/Login.aspx","High","Unknown","Permission Required","Unknown","Not Applicable","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","hub",5
"p13","Water Quality Permits","Division of Water Quality","n09","UDEQ-Water Quality","UDEQ-Water Quality: Water Quality Permits","Department of Environmental Quality",4,"https://secure.utah.gov/waterquality/search.html","High","Catalog","Yes","Copy and Paste; Individual Export","Not Applicable","html","No","No","No","No","No","Unknown","Limited Record","hub",5
"p14","UPDES Permitting Program","Division of Water Quality","n09","UDEQ-Water Quality","UDEQ-Water Quality: UPDES Permitting Program","Department of Environmental Quality",4,"https://deq.utah.gov/water-quality/updes-permitting-program#individual","Medium","Website","Yes","Individual Export","Not Applicable","pdf","Yes","pdf","Yes","Administrative; Descriptive","No","Yearly or Higher","Current Only","hub",5
"p15","Assessment Map","Division of Water Quality","n09","UDEQ-Water Quality","UDEQ-Water Quality: Assessment Map","Department of Environmental Quality",4,"http://mapserv.utah.gov/surfacewaterquality/","High","Map; Catalog","Yes","Individual Export","Not Applicable","pdf","Yes","pdf","No","Descriptive","No","Unknown","Current Only","hub",5
"p16","Assessment Report","Division of Water Quality","n09","UDEQ-Water Quality","UDEQ-Water Quality: Assessment Report","Department of Environmental Quality",4,"https://deq.utah.gov/legacy/programs/water-quality/monitoring-reporting/assessment/2016-integrated-report.htm","Medium","Website","Yes","Individual Export","Not Applicable","excel; pdf","Yes","excel; pdf","Yes","Administrative","Yes","Irregular","Current Only","hub",5
"p17","Waterfowl Consumption Advisories","Division of Water Quality","n09","UDEQ-Water Quality","UDEQ-Water Quality: Waterfowl Consumption Advisories","Department of Environmental Quality",4,"https://deq.utah.gov/waterfowl-advisories/map-utah-waterfowl-advisories","Low","Website; Map","Yes","Individual Export; Copy and Paste","Not Applicable","html","Yes","pdf","No","Administrative","No","Yearly or Higher","Current Only","hub",5
"p18","E. coli in Utah Waters","Division of Water Quality","n09","UDEQ-Water Quality","UDEQ-Water Quality: E. coli in Utah Waters","Department of Environmental Quality",4,"https://deq.utah.gov/water-quality/e-coli","Low","Map","No","Unknown","Not Applicable","Unknown","No","No","No","No","No","Monthly or Higher","Current Only","hub",5
"p19","Harmful Algal Blooms","Division of Water Quality","n09","UDEQ-Water Quality","UDEQ-Water Quality: Harmful Algal Blooms","Department of Environmental Quality",4,"https://deq.utah.gov/water-quality/harmful-algal-blooms-home","Low","Map","Yes","Full Export","Not Applicable","kml","No","No","No","No","No","Monthly or Higher","Current Only","hub",5
