entityID,entity,tier1and2entity,tier1and2entityID,entityIDAbove,mission,website,operational,decision,regulatory,research,level
n01,Wyoming,Wyoming,1,NA,NA,http://www.wyo.gov/,Yes,Yes,Yes,Yes,1
n02,Department of Agriculture,Department of Agriculture,2,n01,"Assists the citizens of Wyoming to live safe and healthy lives, promote and preserve our agricultural community, be responsible stewards of our natural resources, and achieve integrity in the marketplace.",https://wyagric.state.wy.us/,No,Yes,No,Yes,2
n03,Natural Resources and Policy,Department of Agriculture,2,n02,"Lead and support the agriculture industry in the wise management of natural resources to further the interests of that industry and to enhance Wyoming's natural resources, and increase the visibility of the agricultural industry and WDA programs and employees.",https://wyagric.state.wy.us/divisions/nrp,No,Yes,No,No,3
n04,Climate Issues Committee,Department of Agriculture,2,n02,Address timely climate issues by reviewing current issues and discussing possible future climate related impacts.,https://wyagric.state.wy.us/divisions/nrp/climate-issues,No,Yes,No,Yes,3
n05,Department of Environmental Quality,Department of Environmental Quality,3,n01,"Contribute to the quality of life in Wyoming through a combination of monitoring, permitting, inspection, enforcement, restoration and remediation activities that support responsible stewardship of our state’s natural resources.",http://deq.wyoming.gov/,Yes,Yes,Yes,Yes,2
n06,Division of Water Quality,Department of Environmental Quality,3,n05,Keep Wyoming’s water clean by monitoring and protecting surface- and groundwater in the state,http://deq.wyoming.gov/wqd/,Yes,Yes,Yes,No,3
n07,Groundwater Program,Department of Environmental Quality,3,n06,"Protect and preserve Wyoming’s groundwater by permitting facilities to prevent contamination, and investigating and cleaning up known releases.",http://deq.wyoming.gov/wqd/groundwater/,Yes,No,Yes,No,4
n08,Watershed Protection Program,Department of Environmental Quality,3,n06,Responsible for a variety of planning and water quality project implementation activities,http://deq.wyoming.gov/wqd/watershed-protection-2/,No,Yes,No,Yes,4
n09,Water and Wastewater Program,Department of Environmental Quality,3,n06,Ensure safe and adequate supplies of drinking water and the proper disposal of wastewater,http://deq.wyoming.gov/wqd/water-wastewater/,Yes,No,Yes,No,4
n10,Wyoming Pollutant Discharge Elimination System (WYPDES) Program,Department of Environmental Quality,3,n06,regulate discharge of any pollutants from a point source into surface water,http://deq.wyoming.gov/wqd/wypdes/,No,No,Yes,No,4
n11,State Engineer's Office,State Engineer's Office,4,n01,Charged with the regulation and administration of the water resources in Wyoming,https://sites.google.com/a/wyo.gov/seo/home/about,Yes,Yes,Yes,No,2
n12,Groundwater Division,State Engineer's Office,4,n11,"Processing and maintaining groundwater permits, as well as a statewide observation well network.",http://seo.wyo.gov/ground-water,Yes,Yes,Yes,No,3
n13,Surface water Division,State Engineer's Office,4,n11,Review permit applications which beneficially use surface waters of the state of Wyoming,http://seo.wyo.gov/surface-water,No,Yes,Yes,No,3
n14,Dam Safety Program,State Engineer's Office,4,n13,Ensuring the safety and structural integrity of water storage facilities.,http://seo.wyo.gov/surface-water/safety-of-dams,No,No,Yes,No,4
n15,Interstate Streams Division,State Engineer's Office,4,n11,Provides technical and policy support for water allocation and administration issues associated with these governing compacts and decrees,http://seo.wyo.gov/interstate-streams,No,Yes,Yes,No,3
n16,Snow Survey and Water Supply Forecasting Program,State Engineer's Office,5,n11,compilation of snow surveys and streamflow forecasts in Wyoming,http://snow.wyo.gov/snow-surveys,No,Yes,No,No,3
n17,Wyoming Water Development Office,Wyoming Water Development Office,5,n01,Ensure the delivery of water to Wyoming citizens in an economical and environmentally responsible manner,http://wwdc.state.wy.us/index.html,Yes,Yes,No,Yes,2
n18,Planning Program,Wyoming Water Development Office,5,n17,"Promote the optimal development of the state's human, industrial, mineral, agricultural, water and recreational resources.",http://wwdc.state.wy.us/dam_reservoir/dam_reservoir.html,No,Yes,No,Yes,3
n19,Construction Program,Wyoming Water Development Office,5,n17,"Administers those projects which have advanced through the planning phases, (Level I and Level II), and are authorized for construction.",http://wwdc.state.wy.us/construction/construction.html,Yes,No,No,No,3
n20,Wyoming Oil and Gas Conservation Commission,Wyoming Oil and Gas Conservation Commission,6,n01,regulating oil and gas activities in a manner that ensures responsible development and management of Wyoming's oil and gas resources and provides appropriate environmental stewardship for Wyoming citizens.,http://wogcc.wyo.gov/home,No,Yes,Yes,No,2
n21,Wyoming State Geological Survey,Wyoming State Geological Survey,7,n01,"Promote the beneficial and responsible development and use of Wyoming’s geologic, mineral and energy resources while seeking to understand, characterize and inform the public about geologic hazards.",https://www.wsgs.wyo.gov/,No,No,No,Yes,2
n22,Water Resources,Wyoming State Geological Survey,7,n21,"Conduct research, compile data, create maps and reports, address inquiries and provide analysis of groundwater and surface water issues to better assist citizens, industry leaders, state and federal resource managers, county planners, and decision makers.",https://www.wsgs.wyo.gov/water/water.aspx,No,No,No,Yes,3
n23,University of Wyoming,University of Wyoming,8,n01,promote learning,http://www.uwyo.edu/,No,Yes,No,Yes,2
n24,Water Resources Data System & Wyoming State Climate Office,University of Wyoming,8,n23,provide a variety of services ranging from the development of enhanced drought-monitoring products to the online dissemination of water resources publications. ,http://www.wrds.uwyo.edu/,No,Yes,No,Yes,3
n25,State Climate Office,University of Wyoming,8,n24,"provides a variety of services, ranging from the development of enhanced drought-monitoring products to the online dissemination of water and climate data. WRDS and the SCO also support a variety of stakeholder groups by assisting in the development of the State Water Plan and helping to coordinate long-term climate and hydrologic monitoring efforts throughout the region.",http://www.wrds.uwyo.edu/sco/climate_office.html,No,Yes,No,Yes,4
