"platformID","platform","entity","entityID","webLabel","heatmapLabel","tier1and2entity","tier1and2entityID","website","easeDiscover","methodDiscover","easeAccess","methodAccess","LinktoSource","fileFormat","metadata","metadataFormat","dataDefinitions","metaAttributes","metadataStandards","timeliness","lengthAvailable","group","count"
"d01","Built",NA,NA,"Infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infrastructure",6
"d02","Natural",NA,NA,"Infrastructure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Infrastructure",4
"d03","Quality",NA,NA,"Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quality",11
"d04","Regulatory",NA,NA,"Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quality",9
"d05","Evapotranspiration",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",1
"d06","Extreme Events",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",3
"d07","Glacial and Snow",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",7
"d08","Groundwater",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",11
"d09","Meteorology",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",5
"d10","Precipitation",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",7
"d11","Reservoir",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",3
"d12","Soil",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",2
"d13","Surface Water",NA,NA,"Quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quantity",9
"d14","Hydropower",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",2
"d15","Irrigation",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",2
"d16","Use",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",4
"d17","Utilities",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",4
"d18","Management Plans",NA,NA,"Use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Use",6
"p02","Gillette-Madison Well Field Project","Groundwater","n07","WDEQ","WDEQ: Gillette-Madison Well Field Project","Department of Environmental Quality","3","http://deq.wyoming.gov/wqd/gillette-madison-well-field-project/","Medium","Website","Yes","Individual Export","Not Applicable","pdf; excel","yes","pdf","Some","Descriptive; Administrative","No","Unknown","Current Only","hub",5
"p04","Pavillion Investigation","Groundwater","n07","WDEQ","WDEQ: Pavillion Investigation","Department of Environmental Quality","3","http://deq.wyoming.gov/wqd/pavillion-investigation/","Medium","Website; Catalog","Yes","Individual Export","Not Applicable","pdf","yes","in data","Yes","Descriptive; Administrative","No","Irregular","Current Only","hub",5
"p06","GEM Database","Groundwater","n07","WDEQ","WDEQ: GEM Database","Department of Environmental Quality","3","http://deq.wyoming.gov/wqd/underground-injection-control/resources/gem-database/","Low","Unknown","Permission Required","Unknown","Not Applicable","unknown","Unknown","unknown","Unknown","Unknown","Unknown","Unknown","Unknown","hub",5
"p07","Monitoring Data","Groundwater","n07","WDEQ","WDEQ: Monitoring Data","Department of Environmental Quality","3","http://deq.wyoming.gov/wqd/groundwater/resources/monitoring-data/","Medium","Website; Catalog","Yes","Individual Export; Full Export","Not Applicable","shapefile; zip; pdf","yes","html; xml","Yes","Administrative; Descriptive","Yes","Irregular","Current Only","hub",5
"p08","Nonpoint Source Projects","Watershed Protection","n08","WDEQ","WDEQ: Nonpoint Source Projects","Department of Environmental Quality","3","http://deq.wyoming.gov/wqd/non-point-source/resources/projects/","Low","Website","Yes","Individual Export","Not Applicable","pdf","some","in data","Some","Descriptive; Administrative","No","Varies","Limited Record","hub",5
"p09","Waterbody Assessment Reports","Watershed Protection","n08","WDEQ","WDEQ: Waterbody Assessment Reports","Department of Environmental Quality","3","http://deq.wyoming.gov/wqd/non-point-source/resources/reports/","Low","Website","Yes","Individual Export","Not Applicable","pdf","yes","in data","Yes","Descriptive","No","Yearly or Higher","Limited Record","hub",5
